Date,Open,High,Low,Close,Adj Close,Volume,3M,5M
2000-01-04,6000,6110,5660,6110,4651.739746,74195000,,
2000-01-05,5800,6060,5520,5580,4248.231445,74680000,,
2000-01-06,5750,5780,5580,5620,4278.685547,54390000,4392.885579,
2000-01-07,5560,5670,5360,5540,4217.779785,40305000,4248.232259,
2000-01-10,5600,5770,5580,5770,4392.885742,46880000,4296.450358,4357.864453
2000-01-11,5820,6100,5770,5770,4392.885742,59745000,4334.51709,4306.093652
2000-01-12,5610,5740,5600,5720,4354.819336,29220000,4380.19694,4327.41123
2000-01-13,5600,5740,5560,5710,4347.205078,41190000,4364.970052,4341.115137
2000-01-14,5720,5880,5680,5830,4438.56543,49375000,4380.196615,4385.272266
2000-01-17,6000,6180,5920,6100,4644.125488,63505000,4476.631999,4435.520215
2000-01-18,6160,6160,5980,6100,4644.125488,45260000,4575.605469,4485.768164
2000-01-19,6000,6040,5960,5960,4537.540039,40205000,4608.597005,4522.312305
2000-01-20,5860,6040,5820,6040,4598.446289,37315000,4593.370605,4572.560547
2000-01-21,5950,5980,5880,5880,4476.631348,32535000,4537.539225,4580.17373
2000-01-24,5800,5900,5700,5700,4339.593262,34355000,4471.556966,4519.267285
2000-01-25,5520,5640,5440,5440,4141.645508,44250000,4319.290039,4418.771289
2000-01-26,5500,5520,5410,5480,4172.098145,29285000,4217.778972,4345.68291
2000-01-27,5480,5620,5430,5520,4202.552246,27900000,4172.098633,4266.504102
2000-01-28,5640,5880,5540,5820,4430.950195,38315000,4268.533529,4257.367871
2000-01-31,5640,5730,5560,5580,4248.231445,39630000,4293.911295,4239.095508
2000-02-01,5600,5680,5260,5320,4050.286133,71470000,4243.155924,4220.823633
2000-02-02,5220,5370,5110,5250,3996.993896,64105000,4098.503825,4185.802783
2000-02-03,5250,5460,4970,5130,3905.632568,142765000,3984.304199,4126.418847
2000-02-04,5130,5130,5130,5130,3905.632568,0,3936.086344,4021.355322
2000-02-07,5140,5330,5040,5240,3989.379883,64140000,3933.54834,3969.58501
2000-02-08,5340,5480,5310,5430,4134.033691,58460000,4009.682047,3986.334521
2000-02-09,5560,5720,5480,5720,4354.819336,51050000,4159.41097,4057.899609
2000-02-10,5660,5880,5600,5760,4385.272949,61845000,4291.375325,4153.827685
2000-02-11,5960,5960,5680,5700,4339.593262,34660000,4359.895182,4240.619824
2000-02-14,5600,5660,5340,5380,4095.9646,44140000,4273.61027,4261.936768
2000-02-15,5380,5420,5140,5200,3958.926514,38315000,4131.494792,4226.915332
2000-02-16,5180,5200,4780,5000,3806.6604,73115000,3953.850505,4117.283545
2000-02-17,4940,5100,4910,5080,3867.56665,65185000,3877.717855,4013.742285
2000-02-18,5370,5630,5160,5300,4035.05957,108750000,3903.09554,3952.835547
2000-02-21,5200,5260,5030,5070,3859.95459,26485000,3920.86027,3905.633545
2000-02-22,5000,5240,5000,5120,3898.019287,24180000,3931.011149,3893.452099
2000-02-23,5220,5260,5100,5140,3913.246826,27720000,3890.406901,3914.769385
2000-02-24,5120,5240,5060,5070,3859.95459,26075000,3890.406901,3913.246973
2000-02-25,5080,5150,4980,5120,3898.019287,27875000,3890.406901,3885.838916
2000-02-28,5000,5050,4800,4800,3654.394531,30140000,3804.122803,3844.726904
2000-02-29,4900,5140,4840,5120,3898.019287,51820000,3816.811035,3844.726904
2000-03-01,5120,5120,5120,5120,3898.019287,0,3816.811035,3841.681396
2000-03-02,5880,5880,5520,5880,4476.631348,117750000,4090.889974,3965.016748
2000-03-03,6200,6250,5880,6000,4567.991699,140990000,4314.214111,4099.01123
2000-03-06,6000,6050,5600,5640,4293.911621,39150000,4446.178223,4226.914648
2000-03-07,5600,5640,5480,5620,4278.685547,30070000,4380.196289,4303.0479
2000-03-08,5520,6000,5500,5920,4507.086914,32460000,4359.894694,4424.861426
2000-03-09,5970,5980,5620,5620,4278.685547,55890000,4354.819336,4385.272266
2000-03-10,5790,5800,5520,5540,4217.779785,28605000,4334.517415,4315.229883
2000-03-13,5480,5490,5160,5180,3943.699219,32215000,4146.721517,4245.187402
2000-03-14,5170,5380,5160,5210,3966.539795,30060000,4042.672933,4182.758252
2000-03-15,5200,5400,5120,5400,4111.192871,46105000,4007.143962,4103.579443
2000-03-16,5480,5520,5360,5400,4111.192871,28795000,4062.975179,4070.080908
2000-03-17,5540,5560,5400,5480,4172.098145,24080000,4131.494629,4060.94458
2000-03-20,5600,5710,5530,5660,4309.140137,26365000,4197.477051,4134.032764
2000-03-21,5700,5940,5610,5880,4476.631348,44925000,4319.289877,4236.051074
2000-03-22,5960,6300,5880,6200,4720.257813,86975000,4502.009766,4357.864063
2000-03-23,6480,6580,6200,6200,4720.257813,64950000,4639.048991,4479.677051
2000-03-24,6320,7120,6180,6800,5177.057617,90260000,4872.524414,4680.668946
2000-03-27,6960,7040,6700,6800,5177.057617,67730000,5024.791016,4854.252442
2000-03-28,6900,7260,6820,7030,5352.163574,74425000,5235.426269,5029.358887
2000-03-29,7030,7680,6980,7660,5831.802246,78090000,5453.674479,5251.667773
2000-03-30,7520,7560,7050,7050,5367.38916,74645000,5517.118327,5381.094043
2000-03-31,6800,7070,6650,6700,5100.92334,63855000,5433.371582,5365.867187
2000-04-03,6920,7320,6860,7100,5405.45752,56805000,5291.256673,5411.547168
2000-04-04,7000,7290,6660,6800,5177.057617,58340000,5227.812826,5376.525977
2000-04-05,6800,6800,6800,6800,5177.057617,0,5253.190918,5245.577051
2000-04-06,6860,6960,6680,6680,5085.696289,47235000,5146.603841,5189.238477
2000-04-07,6860,7260,6780,7200,5481.589844,42355000,5248.114583,5265.371777
2000-04-10,7500,7500,7200,7300,5557.722168,35885000,5375.002767,5295.824707
2000-04-11,7200,7200,6950,7100,5405.45752,29075000,5481.589844,5341.504688
2000-04-12,6960,7030,6860,6910,5260.804199,35250000,5407.994629,5358.254004
2000-04-13,6910,6910,6910,6910,5260.804199,0,5309.021973,5393.275586
2000-04-14,6600,6680,6260,6260,4765.938965,62365000,5095.849121,5250.14541
2000-04-17,5420,5750,5340,5520,4202.552246,78050000,4743.09847,4979.111426
2000-04-18,6200,6240,5860,6040,4598.446289,73730000,4522.3125,4817.70918
2000-04-19,6300,6460,5860,6000,4567.991699,60615000,4456.330078,4679.14668
2000-04-20,5960,6160,5920,6020,4583.218262,37335000,4583.21875,4543.629492
2000-04-21,6060,6180,5970,6050,4606.060059,26425000,4585.756673,4511.653711
2000-04-24,5970,6030,5760,5800,4415.724121,27830000,4535.000814,4554.288086
2000-04-25,5620,5760,5520,5640,4293.911621,34900000,4438.565267,4493.381152
2000-04-26,5820,5860,5600,5600,4263.458496,39290000,4324.364746,4432.474512
2000-04-27,5520,5700,5400,5400,4111.192871,54110000,4222.854329,4338.069434
2000-04-28,5500,6100,5460,6000,4567.991699,75530000,4314.214355,4330.455762
2000-05-01,6000,6000,6000,6000,4567.991699,0,4415.725423,4360.909277
2000-05-02,6200,6530,6120,6280,4781.164551,72335000,4639.049316,4458.359863
2000-05-03,6240,6260,6090,6180,4705.032227,26585000,4684.729492,4546.674609
2000-05-04,6220,6360,6140,6180,4705.032227,26100000,4730.409668,4665.442481
2000-05-05,6180,6180,6180,6180,4705.032227,0,4705.032227,4692.850586
2000-05-08,6400,6700,6300,6560,4994.336914,52695000,4801.467123,4778.119629
2000-05-09,6560,6560,6560,6560,4994.336914,0,4897.902018,4820.754102
2000-05-10,6320,6390,6270,6350,4834.45752,27620000,4941.043783,4846.63916
2000-05-11,6350,6350,6350,6350,4834.45752,0,4887.750651,4872.524219
2000-05-12,6420,6440,6160,6160,4689.804199,47170000,4786.239746,4869.478613
2000-05-15,6290,6530,6220,6440,4902.979004,47120000,4809.080241,4851.207031
2000-05-16,6510,6800,6510,6800,5177.057617,39620000,4923.280273,4887.751172
2000-05-17,7000,7340,6920,6920,5268.416016,76235000,5116.150879,4974.542871
2000-05-18,6740,7000,6680,6800,5177.057617,36580000,5207.510417,5043.062891
2000-05-19,6740,6900,6600,6900,5253.189941,41450000,5232.887858,5155.740039
2000-05-22,6720,6830,6620,6670,5078.084961,36385000,5169.444173,5190.76123
2000-05-23,6500,6700,6350,6380,4857.297852,41290000,5062.857585,5126.809277
2000-05-24,6160,6370,5920,6200,4720.257813,72150000,4885.213542,5017.177637
2000-05-25,6330,6380,5930,6000,4567.991699,85965000,4715.182455,4895.364453
2000-05-26,5900,5990,5600,5600,4263.458496,67100000,4517.236003,4697.418164
2000-05-29,5260,5680,5240,5460,4156.872559,67130000,4329.440918,4513.175684
2000-05-30,5460,5460,5460,5460,4156.872559,0,4192.401205,4373.090625
2000-05-31,6000,6290,5960,6160,4689.804199,83935000,4334.516439,4366.999902
2000-06-01,6200,6410,6120,6300,4796.391602,50230000,4547.689453,4412.679883
2000-06-02,6690,6900,6510,6620,5040.01709,84385000,4842.070964,4567.991602
2000-06-05,6920,6980,6680,6740,5131.378906,48010000,4989.262533,4762.892871
2000-06-06,6740,6740,6740,6740,5131.378906,0,5100.924967,4957.794141
2000-06-07,6600,6980,6510,6800,5177.057617,53365000,5146.605143,5055.244824
2000-06-08,6660,6960,6530,6530,4971.497559,58550000,5093.311361,5090.266016
2000-06-09,6600,7040,6530,7020,5344.55127,63860000,5164.368815,5151.172852
2000-06-12,7200,7280,7030,7190,5473.977051,49515000,5263.34196,5219.692481
2000-06-13,7060,7100,6870,7060,5375.004395,42495000,5397.844239,5268.417578
2000-06-14,7230,7640,7090,7640,5816.575684,63020000,5555.18571,5396.321192
2000-06-15,7560,7560,7000,7000,5329.32373,61225000,5506.967936,5467.886426
2000-06-16,6900,6960,6710,6740,5131.378906,66455000,5425.75944,5425.251953
2000-06-19,6600,6950,6550,6700,5100.92334,53560000,5187.208659,5350.641211
2000-06-20,6940,7180,6830,7140,5435.909668,59790000,5222.737305,5362.822266
2000-06-21,7300,7380,7070,7080,5390.230469,37585000,5309.021159,5277.553223
2000-06-22,7240,7270,6960,7040,5359.777344,33635000,5395.305827,5283.643945
2000-06-23,6980,7010,6860,7000,5329.32373,29215000,5359.777181,5323.23291
2000-06-26,7100,7360,6990,7210,5489.202637,39980000,5392.767904,5400.88877
2000-06-27,7320,7440,7190,7310,5565.335938,45535000,5461.287435,5426.774024
2000-06-28,7220,7540,7220,7520,5725.217773,47295000,5593.252116,5493.771484
2000-06-29,7600,7740,7380,7490,5702.376953,61120000,5664.310221,5562.291406
2000-06-30,7440,7540,7290,7380,5618.629395,35250000,5682.074707,5620.152539
2000-07-03,7440,7550,7420,7500,5709.98877,25975000,5676.998373,5664.309766
2000-07-04,7600,7620,7350,7350,5595.789551,32810000,5641.469239,5670.400488
