,x,y,광역시도,행정구역,year_avg
강원도 강릉시,11.0,4.0,강원도,강릉시,45.0
강원도 고성군,9.0,0.0,강원도,고성군,0.0
강원도 동해시,11.0,5.0,강원도,동해시,37.0
강원도 삼척시,11.0,8.0,강원도,삼척시,38.0
강원도 속초시,9.0,1.0,강원도,속초시,0.0
강원도 양구군,8.0,0.0,강원도,양구군,0.0
강원도 양양군,10.0,2.0,강원도,양양군,0.0
강원도 영월군,10.0,8.0,강원도,영월군,0.0
강원도 원주시,10.0,7.0,강원도,원주시,50.0
강원도 인제군,9.0,2.0,강원도,인제군,0.0
강원도 정선군,11.0,6.0,강원도,정선군,0.0
강원도 철원군,6.0,0.0,강원도,철원군,0.0
강원도 춘천시,10.0,3.0,강원도,춘천시,42.0
강원도 태백시,11.0,7.0,강원도,태백시,0.0
강원도 평창군,10.0,6.0,강원도,평창군,0.0
강원도 홍천군,10.0,4.0,강원도,홍천군,0.0
강원도 화천군,7.0,0.0,강원도,화천군,0.0
강원도 횡성군,10.0,5.0,강원도,횡성군,0.0
경기도 가평군,9.0,3.0,경기도,가평군,44.0
경기도 고양시,4.0,2.0,경기도,고양시,54.0
경기도 과천시,7.0,7.0,경기도,과천시,45.0
경기도 광명시,3.0,3.0,경기도,광명시,51.0
경기도 광주시,8.0,7.0,경기도,광주시,49.0
경기도 구리시,9.0,4.0,경기도,구리시,58.0
경기도 군포시,5.0,8.0,경기도,군포시,51.0
경기도 김포시,2.0,3.0,경기도,김포시,63.0
경기도 남양주시,8.0,3.0,경기도,남양주시,43.0
경기도 동두천시,7.0,2.0,경기도,동두천시,49.0
경기도 부천시,2.0,4.0,경기도,부천시,48.0
경기도 성남시,7.0,8.0,경기도,성남시,43.0
경기도 수원시,6.0,9.0,경기도,수원시,47.0
경기도 시흥시,3.0,5.0,경기도,시흥시,52.0
경기도 안산시,3.0,6.0,경기도,안산시,48.0
경기도 안성시,4.0,8.0,경기도,안성시,55.0
경기도 안양시,3.0,4.0,경기도,안양시,49.0
경기도 양주시,8.0,2.0,경기도,양주시,51.0
경기도 양평군,9.0,6.0,경기도,양평군,46.0
경기도 여주시,9.0,7.0,경기도,여주시,57.0
경기도 연천군,7.0,1.0,경기도,연천군,45.0
경기도 오산시,3.0,8.0,경기도,오산시,50.0
경기도 용인시,7.0,9.0,경기도,용인시,49.0
경기도 의왕시,6.0,8.0,경기도,의왕시,49.0
경기도 의정부시,7.0,3.0,경기도,의정부시,54.0
경기도 이천시,8.0,8.0,경기도,이천시,54.0
경기도 파주시,3.0,2.0,경기도,파주시,52.0
경기도 평택시,5.0,9.0,경기도,평택시,62.0
경기도 포천시,8.0,1.0,경기도,포천시,47.0
경기도 하남시,9.0,5.0,경기도,하남시,50.0
경기도 화성시,3.0,7.0,경기도,화성시,56.0
경상남도 거제시,9.0,20.0,경상남도,거제시,41.0
경상남도 거창군,6.0,15.0,경상남도,거창군,0.0
경상남도 고성군,7.0,19.0,경상남도,고성군,0.0
경상남도 김해시,8.0,19.0,경상남도,김해시,36.0
경상남도 남해군,6.0,19.0,경상남도,남해군,0.0
경상남도 밀양시,8.0,16.0,경상남도,밀양시,5.0
경상남도 사천시,6.0,18.0,경상남도,사천시,36.0
경상남도 산청군,5.0,18.0,경상남도,산청군,0.0
경상남도 양산시,8.0,17.0,경상남도,양산시,45.0
경상남도 의령군,7.0,16.0,경상남도,의령군,0.0
경상남도 진주시,6.0,17.0,경상남도,진주시,44.0
경상남도 창녕군,7.0,15.0,경상남도,창녕군,0.0
경상남도 창원시,7.0,18.0,경상남도,창원시,44.0
경상남도 통영시,8.0,20.0,경상남도,통영시,4.0
경상남도 하동군,5.0,19.0,경상남도,하동군,46.0
경상남도 함안군,7.0,17.0,경상남도,함안군,0.0
경상남도 함양군,6.0,16.0,경상남도,함양군,0.0
경상남도 합천군,7.0,14.0,경상남도,합천군,0.0
경상북도 경산시,11.0,12.0,경상북도,경산시,43.0
경상북도 경주시,12.0,12.0,경상북도,경주시,34.0
경상북도 고령군,7.0,13.0,경상북도,고령군,0.0
경상북도 구미시,9.0,10.0,경상북도,구미시,41.0
경상북도 군위군,9.0,11.0,경상북도,군위군,0.0
경상북도 김천시,8.0,11.0,경상북도,김천시,41.0
경상북도 문경시,9.0,8.0,경상북도,문경시,0.0
경상북도 봉화군,11.0,9.0,경상북도,봉화군,0.0
경상북도 상주시,8.0,9.0,경상북도,상주시,0.0
경상북도 성주군,8.0,12.0,경상북도,성주군,0.0
경상북도 안동시,10.0,10.0,경상북도,안동시,38.0
경상북도 영덕군,12.0,10.0,경상북도,영덕군,0.0
경상북도 영양군,11.0,10.0,경상북도,영양군,0.0
경상북도 영주시,10.0,9.0,경상북도,영주시,44.0
경상북도 영천시,10.0,12.0,경상북도,영천시,0.0
경상북도 예천군,9.0,9.0,경상북도,예천군,0.0
경상북도 울릉군,13.0,6.0,경상북도,울릉군,0.0
경상북도 울진군,12.0,9.0,경상북도,울진군,0.0
경상북도 의성군,10.0,11.0,경상북도,의성군,0.0
경상북도 청도군,8.0,13.0,경상북도,청도군,0.0
경상북도 청송군,11.0,11.0,경상북도,청송군,0.0
경상북도 칠곡군,9.0,12.0,경상북도,칠곡군,0.0
경상북도 포항시,12.0,11.0,경상북도,포항시,37.0
광주광역시 광산구,2.0,19.0,광주광역시,광산구,41.0
광주광역시 남구,2.0,21.0,광주광역시,남구,41.0
광주광역시 동구,3.0,20.0,광주광역시,동구,39.0
광주광역시 북구,3.0,19.0,광주광역시,북구,40.0
광주광역시 서구,2.0,20.0,광주광역시,서구,37.0
대구광역시 남구,9.0,14.0,대구광역시,남구,44.0
대구광역시 달서구,8.0,15.0,대구광역시,달서구,36.0
대구광역시 달성군,9.0,15.0,대구광역시,달성군,33.0
대구광역시 동구,11.0,13.0,대구광역시,동구,39.0
대구광역시 북구,9.0,13.0,대구광역시,북구,44.0
대구광역시 서구,8.0,14.0,대구광역시,서구,48.0
대구광역시 수성구,10.0,14.0,대구광역시,수성구,32.0
대구광역시 중구,10.0,13.0,대구광역시,중구,45.0
대전광역시 대덕구,5.0,12.0,대전광역시,대덕구,49.0
대전광역시 동구,5.0,13.0,대전광역시,동구,44.0
대전광역시 서구,4.0,14.0,대전광역시,서구,41.0
대전광역시 유성구,4.0,13.0,대전광역시,유성구,46.0
대전광역시 중구,5.0,14.0,대전광역시,중구,43.0
부산광역시 강서구,8.0,18.0,부산광역시,강서구,45.0
부산광역시 금정구,10.0,15.0,부산광역시,금정구,42.0
부산광역시 기장군,12.0,16.0,부산광역시,기장군,39.0
부산광역시 남구,11.0,19.0,부산광역시,남구,44.0
부산광역시 동구,10.0,17.0,부산광역시,동구,43.0
부산광역시 동래구,11.0,16.0,부산광역시,동래구,53.0
부산광역시 부산진구,10.0,16.0,부산광역시,부산진구,44.0
부산광역시 북구,9.0,16.0,부산광역시,북구,36.0
부산광역시 사상구,9.0,17.0,부산광역시,사상구,50.0
부산광역시 사하구,9.0,19.0,부산광역시,사하구,49.0
부산광역시 서구,9.0,18.0,부산광역시,서구,41.0
부산광역시 수영구,11.0,18.0,부산광역시,수영구,37.0
부산광역시 연제구,11.0,17.0,부산광역시,연제구,47.0
부산광역시 영도구,10.0,19.0,부산광역시,영도구,40.0
부산광역시 중구,10.0,18.0,부산광역시,중구,42.0
부산광역시 해운대구,12.0,17.0,부산광역시,해운대구,43.0
서울특별시 강남구,6.0,7.0,서울특별시,강남구,45.0
서울특별시 강동구,8.0,5.0,서울특별시,강동구,48.0
서울특별시 강북구,5.0,2.0,서울특별시,강북구,36.0
서울특별시 강서구,4.0,4.0,서울특별시,강서구,48.0
서울특별시 관악구,5.0,6.0,서울특별시,관악구,43.0
서울특별시 광진구,7.0,6.0,서울특별시,광진구,41.0
서울특별시 구로구,4.0,7.0,서울특별시,구로구,44.0
서울특별시 금천구,5.0,7.0,서울특별시,금천구,41.0
서울특별시 노원구,6.0,1.0,서울특별시,노원구,42.0
서울특별시 도봉구,5.0,1.0,서울특별시,도봉구,43.0
서울특별시 동대문구,7.0,4.0,서울특별시,동대문구,43.0
서울특별시 동작구,5.0,5.0,서울특별시,동작구,41.0
서울특별시 마포구,5.0,4.0,서울특별시,마포구,41.0
서울특별시 서대문구,5.0,3.0,서울특별시,서대문구,46.0
서울특별시 서초구,6.0,6.0,서울특별시,서초구,46.0
서울특별시 성동구,7.0,5.0,서울특별시,성동구,46.0
서울특별시 성북구,6.0,2.0,서울특별시,성북구,47.0
서울특별시 송파구,8.0,6.0,서울특별시,송파구,45.0
서울특별시 양천구,4.0,5.0,서울특별시,양천구,43.0
서울특별시 영등포구,4.0,6.0,서울특별시,영등포구,49.0
서울특별시 용산구,6.0,5.0,서울특별시,용산구,38.0
서울특별시 은평구,4.0,3.0,서울특별시,은평구,44.0
서울특별시 종로구,6.0,3.0,서울특별시,종로구,39.0
서울특별시 중구,6.0,4.0,서울특별시,중구,40.0
서울특별시 중랑구,8.0,4.0,서울특별시,중랑구,44.0
세종특별자치시 세종시,4.0,11.0,세종특별자치시,세종시,0.0
세종특별자치시 세종특별자치시,0.0,0.0,0,0,47.0
울산광역시 남구,12.0,15.0,울산광역시,남구,41.0
울산광역시 동구,12.0,14.0,울산광역시,동구,44.0
울산광역시 북구,12.0,13.0,울산광역시,북구,47.0
울산광역시 울주군,11.0,15.0,울산광역시,울주군,45.0
울산광역시 중구,11.0,14.0,울산광역시,중구,24.0
인천광역시 강화군,1.0,3.0,인천광역시,강화군,41.0
인천광역시 계양구,2.0,5.0,인천광역시,계양구,47.0
인천광역시 남구,2.0,7.0,인천광역시,남구,49.0
인천광역시 남동구,2.0,8.0,인천광역시,남동구,42.0
인천광역시 동구,1.0,5.0,인천광역시,동구,42.0
인천광역시 부평구,2.0,6.0,인천광역시,부평구,40.0
인천광역시 서구,1.0,4.0,인천광역시,서구,47.0
인천광역시 연수구,1.0,8.0,인천광역시,연수구,42.0
인천광역시 옹진군,0.0,8.0,인천광역시,옹진군,0.0
인천광역시 중구,1.0,7.0,인천광역시,중구,51.0
전라남도 강진군,1.0,22.0,전라남도,강진군,0.0
전라남도 고흥군,3.0,22.0,전라남도,고흥군,0.0
전라남도 곡성군,3.0,18.0,전라남도,곡성군,0.0
전라남도 광양시,5.0,20.0,전라남도,광양시,37.0
전라남도 구례군,4.0,18.0,전라남도,구례군,0.0
전라남도 나주시,1.0,20.0,전라남도,나주시,0.0
전라남도 담양군,2.0,18.0,전라남도,담양군,0.0
전라남도 목포시,0.0,20.0,전라남도,목포시,40.0
전라남도 무안군,1.0,19.0,전라남도,무안군,0.0
전라남도 보성군,3.0,21.0,전라남도,보성군,0.0
전라남도 순천시,4.0,20.0,전라남도,순천시,32.0
전라남도 신안군,0.0,19.0,전라남도,신안군,0.0
전라남도 여수시,4.0,21.0,전라남도,여수시,31.0
전라남도 영광군,1.0,17.0,전라남도,영광군,0.0
전라남도 영암군,1.0,21.0,전라남도,영암군,41.0
전라남도 완도군,2.0,23.0,전라남도,완도군,0.0
전라남도 장성군,2.0,17.0,전라남도,장성군,0.0
전라남도 장흥군,2.0,22.0,전라남도,장흥군,0.0
전라남도 진도군,0.0,22.0,전라남도,진도군,0.0
전라남도 함평군,1.0,18.0,전라남도,함평군,0.0
전라남도 해남군,0.0,21.0,전라남도,해남군,0.0
전라남도 화순군,4.0,19.0,전라남도,화순군,0.0
전라북도 고창군,1.0,16.0,전라북도,고창군,43.0
전라북도 군산시,2.0,14.0,전라북도,군산시,45.0
전라북도 김제시,3.0,15.0,전라북도,김제시,46.0
전라북도 남원시,5.0,17.0,전라북도,남원시,43.0
전라북도 무주군,5.0,15.0,전라북도,무주군,0.0
전라북도 부안군,2.0,15.0,전라북도,부안군,46.0
전라북도 순창군,3.0,17.0,전라북도,순창군,0.0
전라북도 완주군,4.0,15.0,전라북도,완주군,0.0
전라북도 익산시,3.0,14.0,전라북도,익산시,55.0
전라북도 임실군,4.0,17.0,전라북도,임실군,0.0
전라북도 장수군,5.0,16.0,전라북도,장수군,0.0
전라북도 전주시,3.0,16.0,전라북도,전주시,52.0
전라북도 정읍시,2.0,16.0,전라북도,정읍시,42.0
전라북도 진안군,4.0,16.0,전라북도,진안군,0.0
제주특별자치도 서귀포시,4.0,25.0,제주특별자치도,서귀포시,19.0
제주특별자치도 제주시,4.0,24.0,제주특별자치도,제주시,40.0
충청남도 계룡시,4.0,12.0,충청남도,계룡시,0.0
충청남도 공주시,4.0,10.0,충청남도,공주시,13.0
충청남도 금산군,3.0,13.0,충청남도,금산군,0.0
충청남도 논산시,3.0,12.0,충청남도,논산시,17.0
충청남도 당진시,2.0,9.0,충청남도,당진시,47.0
충청남도 보령시,2.0,11.0,충청남도,보령시,16.0
충청남도 부여군,2.0,12.0,충청남도,부여군,17.0
충청남도 서산시,1.0,10.0,충청남도,서산시,44.0
충청남도 서천군,2.0,13.0,충청남도,서천군,0.0
충청남도 아산시,3.0,9.0,충청남도,아산시,27.0
충청남도 예산군,3.0,10.0,충청남도,예산군,16.0
충청남도 천안시,4.0,9.0,충청남도,천안시,46.0
충청남도 청양군,3.0,11.0,충청남도,청양군,0.0
충청남도 태안군,1.0,9.0,충청남도,태안군,14.0
충청남도 홍성군,2.0,10.0,충청남도,홍성군,18.0
충청북도 괴산군,7.0,11.0,충청북도,괴산군,0.0
충청북도 단양군,7.0,10.0,충청북도,단양군,40.0
충청북도 보은군,7.0,12.0,충청북도,보은군,0.0
충청북도 영동군,6.0,14.0,충청북도,영동군,0.0
충청북도 옥천군,6.0,13.0,충청북도,옥천군,25.0
충청북도 음성군,5.0,10.0,충청북도,음성군,0.0
충청북도 제천시,8.0,10.0,충청북도,제천시,40.0
충청북도 증평군,6.0,11.0,충청북도,증평군,0.0
충청북도 진천군,5.0,11.0,충청북도,진천군,0.0
충청북도 진천시,0.0,0.0,0,0,44.0
충청북도 청주시,6.0,12.0,충청북도,청주시,46.0
충청북도 충주시,6.0,10.0,충청북도,충주시,43.0
