title,author,pub,date,price
Do it! 점프 투 파이썬,이지스퍼블리싱,박응용 저,2019년 06월,"16,920"
만들면서 배우는 파이썬과 40개의 작품들,앤써북,장문철 저,2022년 02월,"16,920"
혼자 공부하는 머신러닝+딥러닝,한빛미디어,박해선 저,2020년 12월,"23,400"
1일 1로그 100일 완성 IT 지식,인사이트(insight),브라이언 W. 커니핸 저/하성창 역,2021년 12월,"18,000"
이것이 취업을 위한 코딩 테스트다 with 파이썬,한빛미디어,나동빈 저,2020년 08월,"30,600"
혼자 공부하는 파이썬,한빛미디어,윤인성 저,2022년 06월,"19,800"
"일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기",한빛미디어,포스코인재창조원 저,2022년 05월,"21,600"
파이썬 알고리즘 인터뷰,책만,박상길 저/정진호 그림,2020년 07월,"34,200"
밑바닥부터 시작하는 딥러닝,한빛미디어,사이토 고키 저/개앞맵시 역,2017년 01월,"21,600"
이기적 빅데이터분석기사 실기 기본서,영진닷컴,"나홍석, 배원성, 이건길, 이혜영, 고려사이버대학교 AI·빅데이터 연구소 저",2022년 05월,"28,800"
파이썬 딥러닝 머신러닝 입문,정보문화사,오승환 저,2021년 01월,"22,500"
Do it! 점프 투 파이썬 라이브러리 예제 편,이지스퍼블리싱,박응용 저,2022년 05월,"23,400"
미국 주식으로 시작하는 슬기로운 퀀트투자 (무료특별판),한빛미디어,"김용환, Yubin Kim 저 저",2021년 10월,0
나는 파이썬으로 머신러닝한다 1,씨마스,"최정원, 박지훈 저",2022년 06월,"19,800"
핸즈온 머신러닝,한빛미디어,오렐리앙 제롱 저/박해선 역,2020년 05월,"49,500"
Do it! 쉽게 배우는 파이썬 데이터 분석,이지스퍼블리싱,김영우 저,2022년 05월,"20,700"
백엔드를 위한 Django REST Framework with 파이썬,영진닷컴,권태형 저,2022년 05월,"16,200"
Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,이지스퍼블리싱,시바타 보요 저/강민 역,2020년 07월,"19,800"
파이썬 한권으로 끝내기,시대고시기획 시대교육,"데싸라면, 빨간색 물고기, 자투리코드 저",2022년 06월,"24,300"
모두의 인공지능 기초 수학,길벗,서지영 저,2020년 08월,"22,500"
쉽게 따라 만드는 파이썬 주식 자동매매 시스템,길벗,박준성 저,2021년 10월,"25,200"
모두의 데이터 분석 with 파이썬,길벗,"송석리, 이현아 저",2019년 04월,"16,200"
Do it! 첫 파이썬,이지스퍼블리싱,엘리스 코딩 저,2020년 04월,"12,600"
Do it! 파이썬 생활 프로그래밍,이지스퍼블리싱,김창현 저,2020년 07월,"18,000"
캐글 데이터로 보는 데이터분석 With Python & SAS,사도출판,"이호준,  김진환,  김진,  김혜원,  김유진,  차경림,  김영희 저",2020년 10월,0
파이썬 코딩의 기술(개정2판),길벗,브렛 슬라킨 저/오현석 역,2020년 10월,"28,800"
xlsxwriter 튜토리얼로 배우는 Python 엑셀 프로그래밍,사도출판,"이호준,  강상권 外 4명 저",2019년 03월,0
한 권으로 끝내는 아두이노와 파이썬으로 52개 작품 만들기,앤써북,"장문철, 박준원 저",2022년 03월,"19,800"
파이썬 머신러닝 완벽 가이드,위키북스,권철민 저,2022년 04월,"36,000"
Do it! 점프 투 파이썬 -전면 개정판,이지스퍼블리싱,박응용 저,2019년 06월,"13,000"
"머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로",길벗,"세바스찬 라시카, 바히드 미자리리 저/박해선 역",2021년 03월,"39,600"
코딩도장 튜토리얼로 배우는 Python 문제풀이,사도출판,이호준 外 5명 저,2018년 06월,0
Black Hat Python 2/e,에이콘출판사,"저스틴 지이츠, 팀 아널드 저/박재유 역",2022년 04월,"25,200"
"30분 요약 강좌 시즌2 : Python 데이터분석 활용편 - Python, Numpy, Pandas, Visualization, Crawling 30분 요약강좌!",사도출판,이호준 김유진 김혜원 이현창 장하림 차경림 이숭신 김대현 저,2020년 05월,0
정규표현식 Python으로 톺아보기,사도출판,"이호준,  김혜원,  김유진,  차경림,  김진,  현지연,  정승한 저",2021년 03월,0
파이썬 딥러닝 파이토치 (Python Deep Learning PyTorch),정보문화사,"이경택, 방성수, 안상준 저",2020년 10월,"22,500"
Python을 이용한 개인화 추천시스템,도서출판청람(이수영),임일 저,2020년 08월,"18,000"
Python Bootcamp 얕은물,사도출판,"이호준,  김혜원,  김유진,  차경림,  김난화,  김승민,  김진,  이숭신,  이진우 저",2020년 07월,0
혼자 공부하는 첫 프로그래밍 with 파이썬,한빛미디어,문현일 저,2020년 06월,"15,300"
"제주코딩베이스캠프 Code Festival , Python 100제 1부",사도출판,"이호준, 강민정 외 3명 저",2019년 09월,0
타노스의 건틀릿 알고리즘 With Python,사도출판,"이호준,  한승협,  강민정,  신민욱 저",2018년 06월,0
엑셀이 편해지는 파이썬,한빛미디어,펠릭스 춤슈타인 저/한선용 역,2022년 04월,"25,200"
비트코딩 Python,햄큐(HAMQ),박해민 저,2018년 10월,"18,000"
OpenCV-Python으로 배우는 영상처리 및 응용,생능출판사,"정성환, 배종욱 저",2020년 11월,"35,000"
데이터 과학을 위한 통계,한빛미디어,"피터 브루스, 앤드루 브루스, 피터 게데크 저/이준용 역",2021년 05월,"30,600"
파이썬 라이브러리를 활용한 데이터 분석,한빛미디어,웨스 맥키니 저/김영근 역,2019년 05월,"31,500"
이것이 취업을 위한 코딩 테스트다 with 파이썬,한빛미디어,나동빈 저,2020년 09월,"27,200"
"제주코딩베이스캠프 Code Festival , Python 100제 2부",사도출판,이호준 외 5명 저,2019년 11월,0
파이썬 코딩 도장,길벗,남재윤 저,2018년 11월,"22,500"
The Python 3 Standard Library by Example,에이콘출판사,"더그 헬먼 저/권석기, 김우현 역",2020년 06월,"52,200"
코어 파이썬 애플리케이션 프로그래밍 Core Python Applications Programming Third Edition,에이콘출판사,오현석 역,2014년 01월,"45,000"
Python Programming for Beginners,에이콘출판사,제이슨 캐넌 저 / 현동석 역,2015년 11월,"15,300"
파이썬을 이용한 비트코인 자동매매,파이스탁,"조대표, 유대표 저",2021년 03월,"24,300"
Python Design Patterns,에이콘출판사,제나디 즐로빈 저 / 정승원 역,2014년 03월,"10,800"
Pythonゲ-ムプログラミング入門,アスキ-.メディアワ-クス,Will McGugan 著 杉田臣輔 譯 鄕古泰昭 역,2011년 06월,"36,390"
リバ-スエンジニアリング Pythonによるバイナリ解析技法,オライリ-.ジャパン,Justin Seitz 著 安藤慶一 역,2010년 05월,"41,590"
Pythonチュ-トリアル,オライリ-.ジャパン,Guido van Rossum 著 鴨澤眞夫 역,2010년 02월,"19,490"
Building Machine Learning Systems with Python 한국어판,에이콘출판사,"윌리 리커트, 루이스 페드로 코엘류 공저 / 전철욱 역",2015년 09월,"27,000"
Python Machine Learning by Example,에이콘출판사,요우시 리우 저/남궁영환 역,2018년 09월,"22,500"
파이썬 Python 1학년,성안당,모리 요시나오 저/이영란 역,2018년 12월,"15,300"
python으로 배우는 OpenCV 프로그래밍,가메출판사,김동근 저,2021년 12월,"25,200"
모두의 파이썬,길벗,이승찬 저,2018년 10월,"10,800"
밑바닥부터 시작하는 딥러닝 2,한빛미디어,사이토 고키 저/개앞맵시 역,2019년 05월,"26,100"
初めてのPython,オライリ-.ジャパン,Mark Lutz 著 夏目大 역,2009년 02월,"53,810"
OpenCV · Python 머신러닝 · 딥러닝 프로그래밍,가메출판사,김동근 저,2022년 03월,"23,400"
파이썬으로 살펴보는 아키텍처 패턴,한빛미디어,"해리 퍼시벌, 밥 그레고리 저/오현석 역",2021년 06월,"28,800"
파이썬 머신러닝 판다스 데이터 분석,정보문화사,오승환 저,2019년 06월,"22,500"
Head First Python (개정판),한빛미디어,폴 배리 저/우정은 역,2017년 12월,"22,400"
두근두근 파이썬,생능출판사,천인국 저,2017년 01월,"22,800"
Python과 Pygame으로 게임 만들기,정보문화사,알 슈베이가르트 저 / 김세희 역,2014년 06월,"20,700"
실무자를 위한 파이썬 Python 100제,정보문화사,오승환 저,2020년 04월,"14,000"
"일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기",한빛미디어,포스코인재창조원 저,2022년 05월,"19,200"
파이썬 증권 데이터 분석,한빛미디어,김황후 저,2020년 07월,"28,800"
파이썬 Python 2학년,성안당,모리 요시나오 저/황명희 역,2021년 05월,"15,300"
Ready-To-Read Level 1 : The Greedy Python,Simon Spotlight,에릭 칼 그림,2012년 05월,"4,800"
Python Distilled,Addison-Wesley Professional,David Beazley,2021년 11월,"60,000"
파이썬 라이브러리를 활용한 머신러닝,한빛미디어,"안드레아스 뮐러, 세라 가이도 저/박해선 역",2022년 02월,"29,700"
"Fluent Python: Clear, Concise, and Effective Programming",O'Reilly Media,"Ramalho,  Luciano",2021년 10월,"90,380"
Large Scale Machine Learning with Python,Packt Publishing,"Sjardin,  Bastiaan  /  Massaron,  Luca  /  Boschetti,  Alberto",2016년 07월,"43,000"
파이썬 딥러닝 파이토치 (Python Deep Learning PyTorch),정보문화사,"이경택, 방성수, 안상준 저",2020년 11월,"17,000"
최적합 전문코딩능력평가 COS PRO 2급 Python,성안당,장대경 저,2019년 04월,"19,800"
CPython Internals: Your Guide to the Python 3 Interpreter,Real Python (Realpython.Com),"Shaw,  Anthony",2021년 05월,"51,640"
프로그래머를 위한 Python® 파이썬,성안당,"폴 데이텔, 하비 데이텔, 데이텔 앤 어소시에이츠 사 저/안진섭 역",2021년 12월,"34,200"
Python 2.7.10 Setup and Usage Guide,Samurai Media Limited,"Rossum,  Guido Van  /  Team,  Python Development",2015년 10월,"12,890"
Python 2.7.10 Extending and Embedding Python,Samurai Media Limited,"Rossum,  Guido Van  /  Team,  Python Development",2015년 10월,"32,260"
Python 2.7.10 C API,Samurai Media Limited,"Rossum,  Guido Van  /  Team,  Python Development",2015년 10월,"38,720"
Python 2.7.10 Language Reference,Samurai Media Limited,"Rossum,  Guido Van  /  Team,  Python Development",2015년 10월,"32,260"
Python 2.7.10 Tutorial: An Introduction to Python,Samurai Media Limited,"Rossum,  Guido Van  /  Team,  Python Development",2015년 10월,"25,810"
Python 3.5 Extending and Embedding Python,Samurai Media Limited,"Rossum,  Gudio Van  /  Team,  Python Development",2015년 10월,"32,260"
Python 3.5 Setup and Usage Guide,Samurai Media Limited,"Rossum,  Guido Van  /  Team,  Python Development",2015년 08월,"12,890"
Python 3.5 C API,Samurai Media Limited,"Rossum,  Guido Van  /  Team,  Python Development",2015년 08월,"38,720"
"Python For Beginners: Ride The Wave Of Artificial Intelligence And Machine Learning With This Crash Course On Python Programming, Deepening",Independently Published,"In Deep,  Learning Python",2019년 11월,"23,110"
Monty Python - Monty Python's Previous Record (180G)(LP),출판사 없음,Monty Python,2019년 08월,"31,500"
Monty Python - Monty Python & The Holy Grail (몬티 파이톤과 성배) (Soundtrack)(180G)(LP),출판사 없음,Monty Python,2019년 08월,"45,800"
Monty Python - Meaning Of Life (180G)(LP),출판사 없음,Monty Python,2019년 08월,"45,800"
Monty Python - Live At Drury Lane (180G)(LP),출판사 없음,Monty Python,2019년 08월,"34,200"
Beginner Python Programming: The Insider Guide to Basic Python Programming Fundamentals,Createspace Independent Publishing Platform,"Ozer,  Richard  /  Programming,  Python",2017년 08월,"10,310"
Monty Python - Live At Drury Lane (CD),출판사 없음,Monty Python,2006년 09월,"23,500"
Monty Python - The Meaning Of Life (삶의 의미) (Soundtrack)(Remastered)(12 Bonus Tracks)(CD),EMI,Monty Python,2014년 06월,"23,500"
Monty Python - Monty Python And The Holy Grail (몬티 파이튼과 성배) (Soundtrack)(Bonus Tracks) (2014 Reissue)(CD),출판사 없음,Monty Python,2014년 06월,"23,500"
Monty Python - Monty Python's Life Of Brian (라이프 오브 브라이언) (Soundtrack) (2014 Reissue)(CD),출판사 없음,Monty Python,2014년 06월,"23,500"
Introduction Coding Python,Pino Luca,Python Accademy,2021년 10월,"31,010"
Monty Python's Flying Circus: Complete and Annotated . . . All the Bits,Black Dog & Leventhal Pub,"Python Productions,  Ltd. (COR) /  Dempsey,  Luke (CON)",2017년 09월,"32,260"
Brand New Monty Python Papperbok,Consortium Book Sales & Dist,Monty Python,2007년 09월,"32,210"
Monty Python's Flying Circus,Bbc Audiobooks Amer,"Python,  Monty (COR)",2007년 06월,"19,300"
Black Hat Python Programming: The Insider Guide to Black Hat Python Programming Tactics,Createspace Independent Publishing Platform,"Ozer,  Richard  /  Programming,  Python",2018년 02월,"16,490"
Python 3.6 Tutorial,Samurai Media Limited,"Rossum,  Guido Van  /  Team,  Python Dev",2016년 12월,"38,720"
Python 3.6 Setup and Usage Guide,Samurai Media Limited,"Rossum,  Guido Van  /  Team,  Python Dev",2016년 12월,"25,810"
Python 3.6 Extending and Embedding Python,Samurai Media Limited,"Rossum,  Guido Van  /  Team,  Python Dev",2016년 12월,"32,260"
Python 3.6 Language Reference,Samurai Media Limited,"Rossum,  Guido Van  /  Team,  Python Dev",2016년 12월,"38,720"
Python 3.6 C API,Samurai Media Limited,"Rossum,  Guido Van  /  Team,  Python Dev",2016년 12월,"38,720"
Python: Programming For Advanced: Learn The Basics Of Python In 7 Days!,Independently Published,"Language,  Python  /  Thompson,  Maurice J.",2018년 04월,"25,760"
Python Programming For Intermediates: Learn The Basics Of Python In 7 Days!,Independently Published,"Language,  Python  /  Thompson,  Maurice J.",2018년 04월,"23,200"
Python Programming for Advanced: Learn the Fundamentals of Python in 7 Days,Independently Published,"Programming,  Python  /  Knapp,  Michael",2017년 06월,"19,360"
Python Programming for Intermediates: Learn the Fundamentals of Python in 7 Days,Independently Published,"Programming,  Python  /  Knapp,  Michael",2017년 06월,"19,360"
"Python: Programming: Your Step By Step Guide To Easily Learn Python in 7 Days (Python for Beginners, Python Programming for Be",Independently Published,"Language,  Python  /  Academy,  Icode",2017년 04월,"25,780"
The Python/C API: Release 3.6.4,12th Media Services,"Van Rossum,  Guido  /  Python Development Team",2018년 02월,"19,820"
Python Tutorial: Release 3.6.4,12th Media Services,"Van Rossum,  Guido  /  Python Development Team",2018년 02월,"14,150"
The Python Library Reference: Release 3.6.4 - Book 2 of 2,12th Media Services,"Van Rossum,  Guido  /  Python Development Team",2018년 02월,"49,450"
The Python Library Reference: Release 3.6.4 - Book 1 of 2,12th Media Services,"Van Rossum,  Guido  /  Python Development Team",2018년 02월,"55,120"
Extending and Embedding Python: Release 3.6.4,12th Media Services,"Van Rossum,  Guido  /  Python Development Team",2018년 02월,"14,150"
The Python Language Reference: Release 3.6.4,12th Media Services,"Van Rossum,  Guido  /  Python Development Team",2018년 02월,"14,150"
Monty Python - Monty Python's Previous Record (180G)(LP),출판사 없음,Monty Python,2019년 08월,"31,100"
Monty Python - Monty Python & The Holy Grail (몬티 파이톤과 성배) (Soundtrack)(180G)(LP),출판사 없음,Monty Python,2019년 08월,"38,400"
Monty Python - Meaning Of Life (180G)(LP),출판사 없음,Monty Python,2019년 08월,"46,000"
Learning Python: Crash Course Tutorial,Medina Univ PR Intl,"Rossum,  Guido Van  /  Python Development Team",2020년 07월,"21,240"
"The Complete Monty Python's Flying Circus: All the Words, Volume 2",Pantheon Books,Monty Python,1989년 11월,"25,760"
The Complete Monty Python's Flying Circus: All the Words,Pantheon Books,Monty Python,1989년 11월,"25,760"
A Pocketful of Python,Methuen,"Jones,  Terry (EDT) /  Jones,  Terry /  Chapman,  Graham (FRW) /  Idle,  Eric /  Monty Python (Comedy Troupe)",2002년 12월,"15,430"
A Pocketful of Python,Methuen,"Jones,  Terry (EDT) /  Gilliam,  Terry /  Monty Python (Comedy Troupe)",2000년 12월,"15,430"
A Pocketful of Python,Methuen,"Jones,  Terry (EDT) /  Palin,  Michael /  Monty Python (Comedy Troupe)",2000년 12월,"15,430"
Advanced Python Programming: The Insider Guide to Advanced Python Programming Systems,Createspace Independent Publishing Platform,"Ozer,  Richard  /  Programming,  Python",2017년 11월,"10,310"
Monty Python - Monty Python Sings (Again) (50th Anniversary)(Download Code)(Gatefold)(180G)(2LP),Import Music,Monty Python,2019년 10월,"58,100"
Intermediate Python Programming: The Insider Guide to Intermediate Python Programming Concepts,Createspace Independent Publishing Platform,"Ozer,  Richard  /  Programming,  Python",2017년 10월,"10,310"
Cython: A Guide for Python Programmers,O'Reilly Media,"Smith,  Kurt W.",2015년 01월,"38,720"
Python으로 시작하는 빅데이터분석 및 인공지능,인피니티북스,조준모 저,2021년 02월,"26,000"
컴퓨팅 사고력 프로그래밍 파이썬 PYTHON,이한미디어,김충석 저,2020년 02월,"22,000"
パ-フェクトPython,技術評論社,Pythonサポ-タ 저,2013년 03월,"41,590"
실무자를 위한 파이썬 Python 100제,정보문화사,오승환 저,2020년 02월,"18,000"
Python으로 배우는 문제해결과 인공지능,인피니티북스,"김현정, 오경선 저",2021년 02월,"23,000"
CODING BASICS PYTHON,REXmedia(렉스미디어),"김상민, 장성식, 김일태 저",2022년 02월,"18,000"
"Python(파이썬)과 Matplotlib, NumPy, Pandas",유페이퍼,"양원영,  고병천 외 3명 저",2021년 06월,"10,000"
Python 파이썬 2학년 스크래핑의 구조,성안당,모리 요시나오 저/이영란 역,2021년 11월,"15,300"
Python으로 쉽게 배우는 통계 프로그래밍,자유아카데미,김재희 저,2021년 05월,"28,000"
누구나 파이썬 Python 너도 데이터 가지고 놀 수 있어!,잇플ITPLE,민형기 저,2020년 01월,"16,200"
나만의 Python Game 만들기,정보문화사,알 슈베이가르트 저 / 김세희 역,2014년 06월,"22,500"
"Python GUI Programming Cookbook, 3/E",Packt Publishing,Burkhard Meier,2019년 10월,"49,000"
데이터 시각화 with Python,㈜아이콕스,설진욱 저,2021년 03월,"22,400"
RGB viewer Design with Python and Verilog,투마이북,왕윤성 저,2019년 11월,"4,000"
작심 3일 파이썬 Python,스포트라잇북,황덕창 저,2019년 04월,"16,200"
Learn Quantum Computing with Python and IBM Quantum Experience,Packt Publishing,Robert Loredo,2020년 09월,"51,000"
Natural Language Processing with Python: Analyzing Text with the Natural Language Toolkit,O'Reilly Media,"Bird,  Steven /  Klein,  Ewan /  Loper,  Edward",2009년 06월,"65,000"
"Python Programming For Beginners In 2021: Learn Python In 5 Days With Step By Step Guidance, Hands-on Exercises And Solution (Fun Tutorial For Novice",Millennium Publishing Ltd,"Tudor,  James",2021년 01월,"22,660"
Using Python for Introductory Econometrics,Independently Published,"Brunner, Daniel, Heiss, Florian",2020년 05월,"34,730"
The Python - 파이썬 프로그래밍,BOOKK(부크크),허진경 저,2021년 09월,"32,000"
Python Object-Oriented Programming - Fourth Edition,Packt Publishing,"Steven F. Lott,  Dusty Phillips",2021년 07월,"59,000"
Object-Oriented Python: Master Oop by Building Games and GUIs,No Starch Press,"Kalb,  Irv",2022년 01월,"58,090"
Data Analysis with Python and Pyspark,Manning Publications,"Rioux,  Jonathan",2021년 12월,"77,470"
Foundations of Statistics for Data Scientists: With R and Python,CRC Press,"Agresti,  Alan  /  Kateri,  Maria",2021년 10월,"60,000"
Monster Python (몬스터 파이썬) (2018)(지역코드1)(한글무자막)(DVD),출판사 없음,"Wang Xinman, Wang Hongqian",2022년 03월,"24,300"
파이썬 Python을 이용한 통계학 원론,교우사(오판근),권세혁 저,2022년 03월,"23,000"
프로그래머를 위한 Python® 파이썬,성안당,"폴 데이텔, 하비 데이텔, 데이텔 앤 어소시에이츠 사 저/안진섭 역",2022년 01월,"30,400"
Getting Start Python(파이썬)2nd,구민사,김영아 저,2019년 04월,"22,500"
파이썬 Python 2학년 데이터 분석 구조,성안당,모리 요시나오 저/황명희 역,2021년 12월,"13,600"
Python 파이썬 2학년 스크래핑의 구조,성안당,모리 요시나오 저/이영란 역,2021년 12월,"13,600"
PYTHON 파이썬만 잡아도,카오스북,"김병만, 문창배 공저",2018년 07월,"25,000"
파이썬 기초 문법,비팬북스,이원하 저,2017년 07월,0
Python 실습으로 기초부터,서현사,이진영 저,2017년 08월,"22,000"
Python Cookbook,인피니티북스,"데이비드 비즐리, 브라이언 K. 존스 공저 / 정승원 역",2014년 02월,"34,200"
"Python for Data Analysis: Data Wrangling with Pandas, Numpy, and Ipython",O'Reilly Media,"Mckinney,  Wes",2017년 10월,"77,470"
Python 3 START-UP,북스홀릭퍼블리싱,신윤환 저,2018년 06월,"22,500"
Raptor와 Python으로 배우는 소프트웨어 기초설계,연두에디션,하옥균 저,2021년 11월,"22,000"
알파(R과 Python)를 활용한 인공지능 챗봇 14,스토리조아(STORYJOA),"황윤찬, 이현 저",2020년 12월,"20,700"
Python Basics: A Practical Introduction to Python 3,Real Python (Realpython.Com),"Bader,  Dan  /  Jablonski,  Joanna  /  Heisler,  Fletcher",2021년 03월,"51,640"
Pythonユ-ザのためのJupyter[實踐]入門,技術評論社,"@driller, 이와오에마 하루카, 카타야나기 노부코, 이케우치 타카히로 저",2017년 09월,"42,890"
"Powerful Python: The Most Impactful Patterns, Features, and Development Strategies Modern Python Provides",Powerful Python Press,"Maxwell,  Aaron",2017년 05월,"38,720"
