일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-18 00:00:00,13,6,13,7,5,2,10,10,13,6,11,9,11,10,8,6,8,11,9,20,8,9,10,7,10,9,7,12,10,5,6,9,3,25
2022-06-18 01:00:00,10,3,9,4,5,2,11,9,8,6,10,6,11,9,8,7,10,13,11,8,11,8,6,8,7,6,6,11,14,10,9,8,4,18
2022-06-18 02:00:00,24,9,8,4,5,2,6,10,8,3,9,4,10,5,10,6,7,9,10,17,9,7,6,5,8,7,7,9,15,8,5,2,7,19
2022-06-18 03:00:00,16,11,6,8,5,13,6,7,7,4,8,9,7,2,11,8,9,17,13,15,9,6,10,4,7,7,6,11,20,5,9,11,9,16
2022-06-18 04:00:00,11,7,10,9,4,24,8,6,4,3,9,11,7,2,12,5,8,12,13,13,7,5,6,5,8,10,5,17,12,10,12,6,8,17
2022-06-18 05:00:00,18,11,7,10,2,11,9,9,17,4,12,7,6,4,10,7,7,15,19,12,14,10,5,7,10,10,8,15,14,21,9,9,4,25
2022-06-18 06:00:00,13,14,12,11,6,13,10,10,24,14,15,7,10,2,12,11,13,16,15,22,12,11,6,7,13,6,8,14,14,15,13,12,10,21
2022-06-18 07:00:00,28,17,13,11,12,6,9,10,16,11,6,16,13,5,19,11,16,27,9,20,14,10,8,7,10,12,8,12,10,6,11,19,11,18
2022-06-18 08:00:00,17,15,9,11,10,6,7,7,14,11,17,15,12,17,19,8,13,27,13,17,13,12,8,14,7,15,11,21,9,18,16,18,10,18
2022-06-18 09:00:00,15,13,12,11,12,6,13,14,22,14,14,11,17,10,17,8,20,18,26,17,11,9,16,11,4,19,12,15,9,19,10,16,15,27
2022-06-18 10:00:00,17,11,13,15,17,15,17,29,23,20,38,11,14,13,19,11,29,26,14,17,21,8,14,10,8,27,11,16,17,27,17,20,12,25
2022-06-18 11:00:00,18,16,9,23,13,10,17,25,22,18,21,12,10,19,15,9,22,21,19,16,15,20,18,12,5,18,17,18,13,23,22,15,15,16
2022-06-18 12:00:00,11,13,7,19,16,10,13,17,16,2,23,19,15,26,23,17,17,24,16,12,16,12,22,6,2,15,12,14,9,49,17,26,7,12
2022-06-18 13:00:00,7,11,6,17,17,9,11,20,17,6,27,13,20,23,17,13,17,28,20,17,20,13,14,8,10,12,8,17,12,13,14,27,7,27
2022-06-18 14:00:00,21,21,12,21,21,15,15,20,14,10,35,21,25,22,22,17,21,33,27,18,18,17,21,8,13,20,9,22,14,26,26,29,7,28
2022-06-18 15:00:00,23,13,17,35,22,25,21,22,17,15,35,24,26,25,29,24,30,30,23,20,25,19,25,7,20,26,18,17,18,32,29,36,12,23
2022-06-18 16:00:00,17,12,14,26,30,15,19,25,18,9,50,24,20,17,27,24,23,24,16,22,22,18,23,8,12,20,19,19,21,19,17,29,20,27
2022-06-18 17:00:00,23,14,15,32,24,18,16,24,13,9,31,24,14,20,20,21,17,20,17,61,15,19,19,7,13,14,20,17,19,17,18,25,10,18
2022-06-18 18:00:00,15,14,14,24,20,14,19,22,12,11,20,21,21,18,20,16,20,16,14,15,19,14,18,7,10,12,9,16,13,7,19,21,8,18
2022-06-18 19:00:00,23,12,15,15,18,13,15,23,18,8,14,14,16,26,19,12,13,13,11,110,24,13,13,10,7,11,11,20,13,9,14,25,5,20
2022-06-18 20:00:00,24,16,18,15,17,11,19,12,14,10,6,16,11,26,20,19,16,12,15,16,16,16,10,10,12,20,11,19,10,15,18,20,6,17
2022-06-18 21:00:00,7,16,14,14,17,12,16,18,12,12,5,18,13,26,18,11,9,15,17,11,16,18,13,6,12,17,14,19,9,22,18,10,12,14
2022-06-18 22:00:00,13,10,11,13,17,13,21,17,9,9,19,13,11,16,16,10,12,10,13,10,4,15,10,6,13,10,11,18,8,15,14,12,8,21
2022-06-18 23:00:00,9,12,7,13,19,12,16,16,13,9,14,10,8,9,9,7,8,11,12,56,6,13,5,6,9,9,13,19,15,10,20,13,4,18
