부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,일시
33.0,31.0,28.0,35.0,29.0,25.0,29.0,26.0,24.0,24.0,46.0,26.0,33.0,36.0,29.0,24.0,26.0,28.0,43.0,29.0,44.0,26.0,27.0,16.0,7.0,27.0,31.0,29.0,2022-06-25 00:00:00
28.0,41.0,25.0,34.0,26.0,29.0,37.0,22.0,26.0,17.0,37.0,25.0,36.0,33.0,35.0,22.0,32.0,30.0,30.0,26.0,37.0,29.0,28.0,21.0,5.0,22.0,33.0,25.0,2022-06-25 01:00:00
30.0,38.0,27.0,33.0,28.0,27.0,29.0,29.0,26.0,20.0,40.0,27.0,28.0,33.0,32.0,27.0,32.0,34.0,40.0,28.0,37.0,29.0,26.0,17.0,3.0,23.0,30.0,30.0,2022-06-25 02:00:00
24.0,41.0,31.0,34.0,26.0,31.0,30.0,27.0,26.0,27.0,47.0,30.0,29.0,31.0,32.0,32.0,26.0,29.0,33.0,26.0,43.0,31.0,26.0,19.0,10.0,28.0,31.0,31.0,2022-06-25 03:00:00
34.0,44.0,29.0,32.0,21.0,28.0,30.0,27.0,27.0,28.0,48.0,26.0,28.0,35.0,28.0,28.0,28.0,35.0,31.0,29.0,42.0,35.0,26.0,27.0,19.0,32.0,32.0,32.0,2022-06-25 04:00:00
35.0,37.0,30.0,38.0,24.0,29.0,36.0,23.0,37.0,32.0,52.0,29.0,35.0,40.0,34.0,25.0,30.0,41.0,37.0,28.0,51.0,35.0,31.0,22.0,8.0,30.0,35.0,30.0,2022-06-25 05:00:00
34.0,54.0,29.0,36.0,28.0,32.0,30.0,29.0,32.0,22.0,46.0,32.0,40.0,27.0,39.0,32.0,36.0,37.0,35.0,31.0,41.0,31.0,31.0,24.0,10.0,25.0,30.0,27.0,2022-06-25 06:00:00
40.0,45.0,36.0,45.0,31.0,33.0,41.0,33.0,36.0,30.0,54.0,32.0,40.0,33.0,40.0,36.0,35.0,46.0,42.0,35.0,48.0,34.0,34.0,31.0,8.0,36.0,32.0,32.0,2022-06-25 07:00:00
29.0,37.0,16.0,44.0,38.0,36.0,38.0,32.0,27.0,17.0,57.0,35.0,40.0,44.0,39.0,27.0,29.0,54.0,31.0,26.0,46.0,29.0,33.0,11.0,5.0,28.0,37.0,31.0,2022-06-25 08:00:00
39.0,37.0,25.0,45.0,37.0,32.0,38.0,32.0,37.0,22.0,45.0,35.0,32.0,36.0,36.0,29.0,31.0,42.0,31.0,28.0,39.0,28.0,33.0,17.0,6.0,27.0,29.0,30.0,2022-06-25 09:00:00
