address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
강원도 강릉시,41,42,51,36,47,32,29,28,25,29,0,30,33.0
강원도 고성군,45,41,49,35,43,25,22,24,23,27,28,27,33.0
강원도 동해시,41,43,49,38,45,30,26,25,19,25,30,24,34.0
강원도 삼척시,40,43,48,35,41,30,25,24,20,25,26,25,32.0
강원도 속초시,49,46,53,43,48,29,25,28,25,32,31,31,37.0
강원도 양구군,60,47,57,40,45,27,23,25,19,25,35,37,37.0
강원도 양양군,41,38,45,35,43,26,22,22,17,25,27,26,31.0
강원도 영월군,66,58,65,41,46,30,28,30,21,28,37,37,41.0
강원도 원주시,44,39,42,27,31,21,19,18,13,17,23,24,27.0
강원도 인제군,0,0,0,32,43,25,22,24,15,21,28,31,19.0
강원도 정선군,49,44,48,32,39,26,27,26,20,29,37,41,34.0
강원도 철원군,67,51,62,39,49,27,26,20,20,29,39,40,39.0
강원도 춘천시,74,62,66,40,48,30,26,27,20,31,45,47,43.0
강원도 태백시,0,41,50,36,42,28,31,31,25,31,38,36,32.0
강원도 평창군,62,56,65,43,47,33,29,29,24,31,40,43,42.0
강원도 홍천군,0,59,64,33,38,21,17,23,20,29,43,51,32.0
강원도 화천군,0,46,56,35,40,25,23,24,19,23,30,33,29.0
강원도 횡성군,66,57,75,42,51,32,25,26,20,28,41,46,42.0
경기도 가평군,58,45,50,28,32,20,19,20,16,26,35,38,32.0
경기도 고양시,68,55,69,44,56,31,29,26,26,38,47,44,44.0
경기도 과천시,66,59,67,42,56,34,32,31,26,33,44,44,45.0
경기도 광명시,74,62,76,47,60,34,32,32,28,40,54,42,49.0
경기도 광주시,79,69,80,46,56,32,27,28,22,32,47,57,47.0
경기도 구리시,77,62,66,40,52,30,30,29,24,34,46,48,45.0
경기도 군포시,72,63,78,56,67,42,44,31,24,36,43,44,51.0
경기도 김포시,75,58,75,47,58,28,27,24,28,42,49,49,46.0
경기도 남양주시,69,58,67,41,53,32,30,28,21,32,44,44,43.0
경기도 동두천시,74,57,68,42,51,28,24,25,21,33,47,48,43.0
경기도 부천시,79,66,82,57,64,41,37,36,36,52,57,52,55.0
경기도 성남시,67,57,67,40,51,30,29,30,24,33,59,36,44.0
경기도 수원시,56,49,59,41,53,29,31,30,24,32,42,43,41.0
경기도 시흥시,79,68,84,54,67,36,33,33,34,46,53,52,53.0
경기도 안산시,69,60,71,43,52,29,29,31,27,36,44,43,45.0
경기도 안성시,75,68,78,47,58,30,23,26,22,37,53,48,47.0
경기도 안양시,74,60,74,48,61,35,33,32,26,36,48,49,48.0
경기도 양주시,84,62,70,40,52,28,25,24,23,38,47,42,45.0
경기도 양평군,70,60,66,38,49,30,26,28,20,29,40,42,41.0
경기도 여주시,39,34,36,22,28,18,10,10,12,17,24,24,23.0
경기도 연천군,55,46,57,36,43,24,23,21,18,29,39,40,36.0
경기도 오산시,76,65,77,50,54,26,27,28,24,31,44,41,46.0
경기도 용인시,33,20,32,21,56,32,27,28,24,34,47,50,32.0
경기도 의왕시,71,61,72,42,50,29,27,28,25,33,44,46,44.0
경기도 의정부시,73,54,64,38,50,32,30,26,22,34,44,45,42.0
경기도 이천시,38,68,73,46,57,34,24,24,21,35,46,48,42.0
경기도 파주시,76,60,72,45,61,32,30,30,30,45,54,50,49.0
경기도 평택시,80,70,85,56,67,40,34,34,33,43,50,47,54.0
경기도 포천시,85,68,70,40,47,26,27,26,23,34,52,56,45.0
경기도 하남시,88,75,78,39,49,25,24,25,18,27,43,43,45.0
경기도 화성시,70,61,76,48,59,34,33,31,29,39,47,46,48.0
경상남도 거제시,39,43,43,36,45,31,26,31,30,32,36,29,36.0
경상남도 거창군,50,56,60,41,45,35,26,28,24,30,40,37,40.0
경상남도 고성군,46,50,50,40,46,36,28,35,30,32,39,33,39.0
경상남도 김해시,40,39,38,30,35,24,22,25,20,22,38,36,30.0
경상남도 남해군,45,50,51,38,44,35,25,29,27,28,35,30,37.0
경상남도 밀양시,49,50,50,40,46,37,30,30,23,26,37,33,38.0
경상남도 사천시,43,44,42,32,37,30,22,26,22,25,35,34,33.0
경상남도 산청군,0,0,0,0,0,0,0,0,0,0,27,25,2.0
경상남도 양산시,50,52,54,45,52,40,32,34,28,32,38,35,42.0
경상남도 의령군,0,0,0,0,0,0,0,0,0,0,28,27,3.0
경상남도 진주시,45,48,50,41,48,40,30,33,28,29,38,33,39.0
경상남도 창녕군,0,0,0,0,0,0,0,0,0,0,34,33,3.0
경상남도 창원시,41,41,45,37,43,33,27,30,25,28,38,34,35.0
경상남도 통영시,48,53,53,42,50,39,30,36,29,32,37,31,41.0
경상남도 하동군,38,52,47,36,42,42,0,0,0,19,27,27,28.0
경상남도 함안군,50,50,47,38,42,35,28,30,30,34,42,37,39.0
경상남도 함양군,47,52,57,37,43,33,23,24,20,27,36,30,36.0
경상남도 합천군,0,0,0,0,0,0,0,0,0,0,27,26,2.0
경상북도 경산시,64,60,59,44,48,37,31,33,23,27,41,45,42.0
경상북도 경주시,12,12,12,10,12,8,6,6,6,7,10,23,9.0
경상북도 고령군,0,0,0,0,0,0,0,0,0,24,31,31,5.0
경상북도 구미시,76,71,72,50,53,38,34,33,29,32,45,48,48.0
경상북도 김천시,37,71,72,44,41,31,28,25,24,30,41,43,40.0
경상북도 봉화군,0,0,0,0,29,18,18,20,13,17,21,22,12.0
경상북도 상주시,55,54,62,44,48,30,25,25,22,30,45,40,40.0
경상북도 안동시,0,46,48,37,44,29,26,25,19,26,36,39,31.0
경상북도 영주시,49,42,41,28,31,19,16,17,16,24,32,33,29.0
경상북도 영천시,58,52,52,40,47,31,23,25,23,30,45,44,39.0
경상북도 울릉군,0,0,0,0,0,0,30,24,20,26,26,23,11.0
경상북도 울진군,0,34,43,32,37,22,24,24,18,24,27,26,26.0
경상북도 칠곡군,56,51,51,37,40,29,24,26,24,27,39,38,37.0
경상북도 포항시,30,28,32,26,31,23,18,29,27,33,42,39,29.0
광주광역시 광산구,46,50,54,36,44,34,24,30,24,32,40,32,38.0
광주광역시 남구,58,61,68,47,54,45,32,35,32,38,48,41,47.0
광주광역시 동구,57,61,67,46,51,41,26,30,26,34,43,30,44.0
광주광역시 북구,52,57,67,46,53,44,32,32,28,36,42,31,44.0
광주광역시 서구,55,60,68,47,51,40,30,31,27,35,43,34,44.0
대구광역시 남구,59,55,54,39,45,30,22,23,21,26,44,45,38.0
대구광역시 달서구,52,52,51,38,44,33,25,13,12,25,37,38,35.0
대구광역시 달성군,30,55,54,41,48,36,28,28,26,28,40,36,38.0
대구광역시 동구,57,54,54,42,46,32,28,28,24,28,40,44,39.0
대구광역시 북구,60,56,58,44,49,35,29,30,27,30,42,42,42.0
대구광역시 서구,62,56,61,44,51,35,28,28,25,30,47,47,42.0
대구광역시 수성구,56,55,52,38,42,30,24,24,20,26,39,42,37.0
대구광역시 중구,60,54,55,40,48,29,23,24,20,26,40,40,38.0
대전광역시 대덕구,78,72,76,46,50,32,24,24,22,34,46,44,46.0
대전광역시 동구,64,60,64,38,41,29,22,23,22,26,39,36,39.0
대전광역시 서구,56,54,62,36,46,32,26,29,22,28,42,37,39.0
대전광역시 유성구,69,63,70,42,48,28,19,24,22,29,45,44,42.0
대전광역시 중구,60,58,60,36,45,31,27,29,21,26,40,37,39.0
부산광역시 강서구,54,54,54,42,53,36,28,33,27,30,38,40,41.0
부산광역시 금정구,44,46,47,38,44,30,26,29,24,26,31,30,35.0
부산광역시 기장군,40,44,46,36,41,28,24,27,24,27,32,28,34.0
부산광역시 남구,43,42,45,36,47,31,27,31,24,26,33,31,35.0
부산광역시 동구,38,37,40,32,41,31,27,28,22,22,29,28,32.0
부산광역시 동래구,48,48,49,41,50,33,29,33,26,29,35,37,38.0
부산광역시 부산진구,26,26,34,24,26,14,24,28,22,26,37,40,26.0
부산광역시 북구,53,51,54,48,36,29,28,30,24,28,37,40,38.0
부산광역시 사상구,57,52,56,43,52,34,28,30,24,28,39,44,40.0
부산광역시 사하구,31,28,27,21,28,18,25,28,22,26,36,38,26.0
부산광역시 서구,51,50,50,39,47,32,29,31,25,28,38,37,38.0
부산광역시 수영구,44,44,47,41,51,35,29,32,25,24,34,31,37.0
부산광역시 연제구,44,46,48,40,48,33,28,29,25,28,35,37,37.0
부산광역시 영도구,48,54,62,45,37,27,21,27,21,23,31,26,36.0
부산광역시 중구,51,53,55,41,51,34,28,32,27,26,34,30,39.0
부산광역시 해운대구,41,41,44,35,43,28,25,27,22,24,30,27,33.0
서울특별시 강남구,61,54,64,34,43,24,29,29,24,33,44,43,40.0
서울특별시 강동구,65,58,67,37,47,26,26,22,19,34,54,48,41.0
서울특별시 강북구,71,62,73,39,52,30,31,32,26,36,41,46,45.0
서울특별시 강서구,76,65,79,42,53,27,28,27,24,36,48,52,46.0
서울특별시 관악구,72,63,76,48,62,35,26,24,0,45,44,43,45.0
서울특별시 광진구,65,55,69,43,57,32,27,28,24,34,40,37,43.0
서울특별시 구로구,67,56,72,46,61,31,19,22,19,27,42,40,42.0
서울특별시 금천구,64,57,66,38,45,25,25,24,19,28,35,36,39.0
서울특별시 노원구,68,58,67,37,48,26,27,26,21,28,35,38,40.0
