광역시도,시군구,1,2,3,4,5,6,7,8,9,10,11,12
서울특별시,중구,58.0,,,,,,,,,,,
서울특별시,중구,,50.0,,,,,,,,,,
서울특별시,중구,,,65.0,,,,,,,,,
서울특별시,중구,,,,51.0,,,,,,,,
서울특별시,중구,,,,,57.0,,,,,,,
서울특별시,중구,,,,,,48.0,,,,,,
서울특별시,중구,,,,,,,30.0,,,,,
서울특별시,중구,,,,,,,,31.0,,,,
서울특별시,중구,,,,,,,,,25.0,,,
서울특별시,중구,,,,,,,,,,40.0,,
서울특별시,중구,,,,,,,,,,,70.0,
서울특별시,중구,,,,,,,,,,,,63.0
서울특별시,종로구,59.0,,,,,,,,,,,
서울특별시,종로구,,50.0,,,,,,,,,,
서울특별시,종로구,,,57.0,,,,,,,,,
서울특별시,종로구,,,,49.0,,,,,,,,
서울특별시,종로구,,,,,56.0,,,,,,,
서울특별시,종로구,,,,,,56.0,,,,,,
서울특별시,종로구,,,,,,,42.0,,,,,
서울특별시,종로구,,,,,,,,39.0,,,,
서울특별시,종로구,,,,,,,,,31.0,,,
서울특별시,종로구,,,,,,,,,,44.0,,
서울특별시,종로구,,,,,,,,,,,75.0,
서울특별시,종로구,,,,,,,,,,,,44.0
서울특별시,중랑구,60.0,,,,,,,,,,,
서울특별시,중랑구,,48.0,,,,,,,,,,
서울특별시,중랑구,,,63.0,,,,,,,,,
서울특별시,중랑구,,,,49.0,,,,,,,,
서울특별시,중랑구,,,,,55.0,,,,,,,
서울특별시,중랑구,,,,,,50.0,,,,,,
서울특별시,중랑구,,,,,,,31.0,,,,,
서울특별시,중랑구,,,,,,,,32.0,,,,
서울특별시,중랑구,,,,,,,,,24.0,,,
서울특별시,중랑구,,,,,,,,,,41.0,,
서울특별시,중랑구,,,,,,,,,,,75.0,
서울특별시,중랑구,,,,,,,,,,,,66.0
서울특별시,동대문구,63.0,,,,,,,,,,,
서울특별시,동대문구,,52.0,,,,,,,,,,
서울특별시,동대문구,,,65.0,,,,,,,,,
서울특별시,동대문구,,,,51.0,,,,,,,,
서울특별시,동대문구,,,,,58.0,,,,,,,
서울특별시,동대문구,,,,,,53.0,,,,,,
서울특별시,동대문구,,,,,,,33.0,,,,,
서울특별시,동대문구,,,,,,,,33.0,,,,
서울특별시,동대문구,,,,,,,,,27.0,,,
서울특별시,동대문구,,,,,,,,,,44.0,,
서울특별시,동대문구,,,,,,,,,,,76.0,
서울특별시,동대문구,,,,,,,,,,,,68.0
서울특별시,은평구,52.0,,,,,,,,,,,
서울특별시,은평구,,46.0,,,,,,,,,,
서울특별시,은평구,,,60.0,,,,,,,,,
서울특별시,은평구,,,,48.0,,,,,,,,
서울특별시,은평구,,,,,56.0,,,,,,,
서울특별시,은평구,,,,,,48.0,,,,,,
서울특별시,은평구,,,,,,,32.0,,,,,
서울특별시,은평구,,,,,,,,31.0,,,,
서울특별시,은평구,,,,,,,,,23.0,,,
서울특별시,은평구,,,,,,,,,,36.0,,
서울특별시,은평구,,,,,,,,,,,68.0,
서울특별시,은평구,,,,,,,,,,,,62.0
서울특별시,마포구,63.0,,,,,,,,,,,
서울특별시,마포구,,54.0,,,,,,,,,,
서울특별시,마포구,,,67.0,,,,,,,,,
서울특별시,마포구,,,,52.0,,,,,,,,
서울특별시,마포구,,,,,59.0,,,,,,,
서울특별시,마포구,,,,,,52.0,,,,,,
서울특별시,마포구,,,,,,,32.0,,,,,
서울특별시,마포구,,,,,,,,31.0,,,,
서울특별시,마포구,,,,,,,,,26.0,,,
서울특별시,마포구,,,,,,,,,,43.0,,
서울특별시,마포구,,,,,,,,,,,77.0,
서울특별시,마포구,,,,,,,,,,,,71.0
서울특별시,영등포구,59.0,,,,,,,,,,,
서울특별시,영등포구,,51.0,,,,,,,,,,
서울특별시,영등포구,,,66.0,,,,,,,,,
서울특별시,영등포구,,,,56.0,,,,,,,,
서울특별시,영등포구,,,,,62.0,,,,,,,
서울특별시,영등포구,,,,,,52.0,,,,,,
서울특별시,영등포구,,,,,,,31.0,,,,,
서울특별시,영등포구,,,,,,,,31.0,,,,
서울특별시,영등포구,,,,,,,,,26.0,,,
서울특별시,영등포구,,,,,,,,,,44.0,,
서울특별시,영등포구,,,,,,,,,,,76.0,
서울특별시,영등포구,,,,,,,,,,,,68.0
서울특별시,동작구,56.0,,,,,,,,,,,
서울특별시,동작구,,47.0,,,,,,,,,,
서울특별시,동작구,,,52.0,,,,,,,,,
서울특별시,동작구,,,,45.0,,,,,,,,
서울특별시,동작구,,,,,54.0,,,,,,,
서울특별시,동작구,,,,,,58.0,,,,,,
서울특별시,동작구,,,,,,,37.0,,,,,
서울특별시,동작구,,,,,,,,37.0,,,,
서울특별시,동작구,,,,,,,,,26.0,,,
서울특별시,동작구,,,,,,,,,,40.0,,
서울특별시,동작구,,,,,,,,,,,66.0,
서울특별시,동작구,,,,,,,,,,,,61.0
서울특별시,관악구,64.0,,,,,,,,,,,
서울특별시,관악구,,56.0,,,,,,,,,,
서울특별시,관악구,,,68.0,,,,,,,,,
서울특별시,관악구,,,,55.0,,,,,,,,
서울특별시,관악구,,,,,63.0,,,,,,,
서울특별시,관악구,,,,,,56.0,,,,,,
서울특별시,관악구,,,,,,,34.0,,,,,
서울특별시,관악구,,,,,,,,34.0,,,,
서울특별시,관악구,,,,,,,,,29.0,,,
서울특별시,관악구,,,,,,,,,,46.0,,
서울특별시,관악구,,,,,,,,,,,80.0,
서울특별시,관악구,,,,,,,,,,,,71.0
서울특별시,강남구,63.0,,,,,,,,,,,
서울특별시,강남구,,53.0,,,,,,,,,,
서울특별시,강남구,,,67.0,,,,,,,,,
서울특별시,강남구,,,,53.0,,,,,,,,
