,시도,군구
0,서울특별시,종로구
1,서울특별시,종로구
2,서울특별시,종로구
3,서울특별시,종로구
4,서울특별시,종로구
5,서울특별시,종로구
6,서울특별시,종로구
7,서울특별시,종로구
8,서울특별시,종로구
9,서울특별시,종로구
10,서울특별시,종로구
11,서울특별시,종로구
12,서울특별시,종로구
13,서울특별시,종로구
14,서울특별시,종로구
15,서울특별시,종로구
16,서울특별시,종로구
17,서울특별시,종로구
18,서울특별시,종로구
19,서울특별시,종로구
20,서울특별시,종로구
21,서울특별시,종로구
22,서울특별시,종로구
23,서울특별시,종로구
24,서울특별시,종로구
25,서울특별시,종로구
26,서울특별시,종로구
27,서울특별시,종로구
28,서울특별시,종로구
29,서울특별시,종로구
30,서울특별시,종로구
31,서울특별시,종로구
32,서울특별시,종로구
33,서울특별시,종로구
34,서울특별시,종로구
35,서울특별시,종로구
36,서울특별시,종로구
37,서울특별시,종로구
38,서울특별시,종로구
39,서울특별시,종로구
40,서울특별시,종로구
41,서울특별시,종로구
42,서울특별시,종로구
43,서울특별시,종로구
44,서울특별시,종로구
45,서울특별시,종로구
46,서울특별시,종로구
47,서울특별시,종로구
48,서울특별시,종로구
49,서울특별시,종로구
50,서울특별시,종로구
51,서울특별시,종로구
52,서울특별시,종로구
53,서울특별시,종로구
54,서울특별시,종로구
55,서울특별시,종로구
56,서울특별시,종로구
57,서울특별시,종로구
58,서울특별시,종로구
59,서울특별시,종로구
60,서울특별시,종로구
61,서울특별시,종로구
62,서울특별시,종로구
63,서울특별시,종로구
64,서울특별시,종로구
65,서울특별시,종로구
66,서울특별시,종로구
67,서울특별시,종로구
68,서울특별시,종로구
69,서울특별시,종로구
70,서울특별시,종로구
71,서울특별시,종로구
72,서울특별시,종로구
73,서울특별시,종로구
74,서울특별시,종로구
75,서울특별시,종로구
76,서울특별시,종로구
77,서울특별시,종로구
78,서울특별시,종로구
79,서울특별시,종로구
80,서울특별시,종로구
81,서울특별시,종로구
82,서울특별시,종로구
83,서울특별시,종로구
84,서울특별시,종로구
85,서울특별시,종로구
86,서울특별시,종로구
87,서울특별시,종로구
88,서울특별시,종로구
89,서울특별시,종로구
90,서울특별시,종로구
91,서울특별시,종로구
92,서울특별시,종로구
93,서울특별시,종로구
94,서울특별시,종로구
95,서울특별시,종로구
96,서울특별시,종로구
97,서울특별시,종로구
98,서울특별시,종로구
99,서울특별시,종로구
100,서울특별시,종로구
101,서울특별시,종로구
102,서울특별시,종로구
103,서울특별시,종로구
104,서울특별시,종로구
105,서울특별시,종로구
106,서울특별시,종로구
107,서울특별시,종로구
108,서울특별시,종로구
109,서울특별시,종로구
110,서울특별시,종로구
111,서울특별시,종로구
112,서울특별시,종로구
113,서울특별시,종로구
114,서울특별시,종로구
115,서울특별시,종로구
116,서울특별시,종로구
117,서울특별시,종로구
118,서울특별시,종로구
119,서울특별시,종로구
120,서울특별시,종로구
121,서울특별시,종로구
122,서울특별시,종로구
123,서울특별시,종로구
124,서울특별시,종로구
125,서울특별시,종로구
126,서울특별시,종로구
127,서울특별시,종로구
128,서울특별시,종로구
129,서울특별시,종로구
130,서울특별시,종로구
131,서울특별시,종로구
132,서울특별시,종로구
133,서울특별시,종로구
134,서울특별시,종로구
135,서울특별시,종로구
136,서울특별시,종로구
137,서울특별시,종로구
138,서울특별시,중구
139,서울특별시,중구
140,서울특별시,중구
141,서울특별시,중구
142,서울특별시,중구
143,서울특별시,중구
144,서울특별시,중구
145,서울특별시,중구
146,서울특별시,중구
147,서울특별시,중구
148,서울특별시,중구
149,서울특별시,중구
150,서울특별시,중구
151,서울특별시,중구
152,서울특별시,중구
153,서울특별시,중구
154,서울특별시,중구
155,서울특별시,중구
156,서울특별시,중구
157,서울특별시,중구
158,서울특별시,중구
159,서울특별시,중구
160,서울특별시,중구
161,서울특별시,중구
162,서울특별시,중구
163,서울특별시,중구
164,서울특별시,중구
165,서울특별시,중구
166,서울특별시,중구
167,서울특별시,중구
168,서울특별시,중구
169,서울특별시,중구
170,서울특별시,중구
171,서울특별시,중구
172,서울특별시,중구
173,서울특별시,중구
174,서울특별시,중구
175,서울특별시,중구
176,서울특별시,중구
177,서울특별시,중구
178,서울특별시,중구
179,서울특별시,중구
180,서울특별시,중구
181,서울특별시,중구
182,서울특별시,중구
183,서울특별시,중구
184,서울특별시,중구
185,서울특별시,중구
186,서울특별시,중구
187,서울특별시,중구
188,서울특별시,중구
189,서울특별시,중구
190,서울특별시,중구
191,서울특별시,중구
192,서울특별시,중구
193,서울특별시,중구
