dataTime,sidoName,stationName,mangName,so2Value,coValue,o3Value,no2Value,pm10Value,pm10Value24,pm25Value,pm25Value24,khaiValue,khaiGrade,so2Grade,coGrade,o3Grade,no2Grade,pm10Grade,pm25Grade,pm10Grade1h,pm25Grade1h,so2Flag,coFlag,o3Flag,no2Flag,pm10Flag,pm25Flag
2021-11-13 08:00,서울,도봉구,도시대기,0.003,0.6,0.003,0.031,19,16,8,8,51,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,은평구,도시대기,,0.6,0.003,0.033,18,12,7,7,54,보통,,좋음,좋음,보통,좋음,좋음,좋음,좋음,자료이상,,,,,
2021-11-13 08:00,서울,서대문구,도시대기,0.006,1.1,0.002,0.032,20,19,14,9,53,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,마포구,도시대기,0.003,0.7,0.002,0.041,19,18,8,8,68,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,신촌로,도로변대기,0.003,0.8,0.002,0.046,21,22,9,10,76,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,강서구,도시대기,0.004,0.8,0.002,0.041,27,27,10,10,68,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,공항대로,도로변대기,0.003,0.8,0.002,0.050,35,29,14,13,83,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,좋음,,,,,,
2021-11-13 08:00,서울,구로구,도시대기,0.002,0.5,0.008,0.034,25,22,8,8,56,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,영등포구,도시대기,0.003,0.7,0.002,0.042,25,24,10,11,70,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,영등포로,도로변대기,0.004,0.8,0.002,0.038,28,24,12,12,63,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,동작구,도시대기,0.003,0.6,0.005,0.038,22,19,9,9,63,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,동작대로 중앙차로,도로변대기,0.004,0.8,0.002,0.050,25,22,9,10,83,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,관악구,도시대기,0.002,0.6,0.002,0.040,17,17,6,7,66,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,강남구,도시대기,0.003,0.5,0.003,0.031,18,19,8,9,51,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,서초구,도시대기,0.002,0.5,0.005,0.037,25,19,13,11,61,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,도산대로,도로변대기,0.003,0.7,0.003,0.035,30,25,8,9,58,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,강남대로,도로변대기,0.004,0.9,0.002,0.042,35,24,11,8,70,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,좋음,,,,,,
2021-11-13 08:00,서울,송파구,도시대기,0.003,0.6,0.002,0.036,26,23,12,10,59,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,강동구,도시대기,0.003,0.5,0.002,0.036,24,25,12,12,59,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,천호대로,도로변대기,0.003,0.6,0.002,0.038,34,32,13,13,63,보통,좋음,좋음,좋음,보통,보통,좋음,보통,좋음,,,,,,
2021-11-13 08:00,서울,금천구,도시대기,0.004,0.5,0.002,0.043,15,16,8,9,71,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,시흥대로,도로변대기,0.004,0.7,0.002,0.055,28,25,8,11,92,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,강북구,도시대기,0.002,0.5,0.003,0.029,17,16,7,6,48,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,양천구,도시대기,0.003,0.7,0.002,0.043,25,25,13,13,71,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,노원구,도시대기,0.003,0.6,0.003,0.035,21,20,10,10,58,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,화랑로,도로변대기,0.003,0.6,0.002,0.041,23,21,11,12,68,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,중구,도시대기,0.004,0.7,0.002,0.042,22,17,10,8,70,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,한강대로,도로변대기,0.004,0.7,0.003,0.039,22,19,11,9,65,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,종로구,도시대기,0.003,0.7,0.002,0.038,19,18,10,10,63,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,청계천로,도로변대기,0.004,0.8,0.002,0.042,27,20,13,9,70,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,종로,도로변대기,0.002,0.7,0.002,0.033,20,17,9,8,54,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,용산구,도시대기,0.003,0.5,0.002,0.035,22,21,11,10,58,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,광진구,도시대기,0.003,0.5,0.003,0.025,21,22,9,10,42,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,성동구,도시대기,0.003,0.5,0.003,0.029,23,22,9,8,48,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,강변북로,도로변대기,0.004,0.6,0.002,0.032,26,20,10,12,53,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,중랑구,도시대기,0.003,0.5,0.003,0.033,22,21,9,8,54,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,동대문구,도시대기,0.002,0.6,0.002,0.036,20,18,11,11,59,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,홍릉로,도로변대기,0.004,0.6,0.001,0.042,25,22,13,11,70,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,성북구,도시대기,0.004,0.7,0.003,0.041,18,17,8,8,68,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,서울,정릉로,도로변대기,0.002,0.7,0.002,0.045,19,18,9,8,75,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,광복동,도시대기,0.002,0.3,0.016,0.018,11,9,8,7,30,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,초량동,도로변대기,0.002,0.4,0.010,0.028,16,13,5,5,47,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,태종대,도시대기,0.003,0.2,0.019,0.020,15,13,10,6,33,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,청학동,도시대기,0.003,,0.021,0.018,10,10,7,5,35,좋음,좋음,,좋음,좋음,좋음,좋음,좋음,좋음,,자료이상,,,,
2021-11-13 08:00,부산,전포동,도시대기,0.002,0.2,0.016,0.014,14,17,10,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,온천동,도로변대기,0.003,0.4,0.004,0.042,17,13,5,8,70,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,명장동,도시대기,,,0.012,0.028,12,12,8,8,47,좋음,,,좋음,좋음,좋음,좋음,좋음,좋음,통신장애,통신장애,,,,
2021-11-13 08:00,부산,대연동,도시대기,0.002,0.4,0.010,0.028,18,12,7,7,47,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,용호동,도시대기,0.002,0.4,0.007,0.023,,,,,,,좋음,좋음,좋음,좋음,,,,,,,,,점검및교정,점검및교정
2021-11-13 08:00,부산,학장동,도시대기,0.003,0.3,0.004,0.022,39,28,15,14,47,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,좋음,,,,,,
2021-11-13 08:00,부산,덕천동,도시대기,0.002,0.4,0.001,0.034,25,18,12,11,56,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,화명동,도시대기,,,0.003,0.035,11,10,5,6,58,보통,,,좋음,보통,좋음,좋음,좋음,좋음,통신장애,통신장애,,,,
2021-11-13 08:00,부산,삼락동,도로변대기,0.004,0.4,0.002,0.027,,,,,,,좋음,좋음,좋음,좋음,,,,,,,,,점검및교정,점검및교정
2021-11-13 08:00,부산,청룡동,도시대기,,,0.004,0.032,13,10,7,6,53,보통,,,좋음,보통,좋음,좋음,좋음,좋음,통신장애,통신장애,,,,
2021-11-13 08:00,부산,좌동,도시대기,,0.3,0.018,0.012,11,14,8,7,30,좋음,,좋음,좋음,좋음,좋음,좋음,좋음,좋음,장비점검,,,,,
2021-11-13 08:00,부산,재송동,도시대기,0.003,,0.012,0.021,11,12,7,7,35,좋음,좋음,,좋음,좋음,좋음,좋음,좋음,좋음,,자료이상,,,,
2021-11-13 08:00,부산,장림동,도시대기,0.002,0.3,0.004,0.029,28,25,15,14,48,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,대저동,도시대기,0.003,0.3,0.002,0.023,17,15,7,9,38,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,녹산동,도시대기,0.004,0.3,0.005,0.055,25,19,12,13,92,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,명지동,도시대기,0.002,0.3,0.004,0.024,27,19,17,12,40,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,,,,,,
2021-11-13 08:00,부산,연산동,도시대기,0.002,0.3,0.002,0.024,10,8,,5,40,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,,자료이상
2021-11-13 08:00,부산,기장읍,도시대기,0.003,0.2,0.010,0.016,17,12,9,9,30,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,용수리,도시대기,0.005,,0.029,0.009,11,12,9,7,48,좋음,좋음,,좋음,좋음,좋음,좋음,좋음,좋음,,자료이상,,,,
2021-11-13 08:00,부산,수정동,도시대기,0.002,0.2,0.018,0.015,13,9,7,6,30,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,부곡동,도시대기,0.001,0.2,0.018,0.019,20,13,7,6,32,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,회동동,도시대기,0.002,0.4,0.002,0.030,24,15,15,9,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,광안동,도시대기,,,0.004,0.030,17,15,4,6,50,좋음,,,좋음,좋음,좋음,좋음,좋음,좋음,통신장애,통신장애,,,,
2021-11-13 08:00,부산,대신동,도시대기,0.001,0.3,0.010,0.030,27,20,10,9,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,덕포동,도시대기,0.002,0.4,0.002,0.034,15,17,15,15,56,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,개금동,도시대기,0.002,0.4,0.002,0.046,28,22,15,13,76,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,당리동,도시대기,0.003,0.4,0.004,0.038,18,14,6,6,63,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,부산북항,도로변대기,0.003,0.3,0.004,0.049,19,17,9,9,81,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,부산신항,도로변대기,0.003,0.3,0.003,0.045,19,15,11,9,75,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,부산,부산항,항만,0.002,0.3,0.008,0.035,32,24,12,11,58,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,좋음,,,,,,
2021-11-13 08:00,대구,수창동,도시대기,0.002,0.4,0.004,0.024,35,26,26,20,61,보통,좋음,좋음,좋음,좋음,좋음,보통,보통,보통,,,,,,
2021-11-13 08:00,대구,지산동,도시대기,0.001,0.4,0.004,0.017,47,20,12,10,33,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,좋음,,,,,,
2021-11-13 08:00,대구,서호동,도시대기,0.002,0.4,0.002,0.024,32,23,14,14,47,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,좋음,,,,,,
2021-11-13 08:00,대구,이현동,도시대기,0.002,0.5,0.002,0.024,42,23,22,14,47,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,보통,,,,,,
2021-11-13 08:00,대구,평리동,도로변대기,0.002,0.6,0.002,0.031,56,39,22,22,66,보통,좋음,좋음,좋음,보통,보통,보통,보통,보통,,,,,,
2021-11-13 08:00,대구,대명동,도시대기,0.003,0.4,0.001,0.025,36,31,17,16,51,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-11-13 08:00,대구,신암동,도시대기,0.003,0.6,0.002,0.031,36,24,20,14,51,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,보통,,,,,,
2021-11-13 08:00,대구,태전동,도시대기,0.003,0.5,0.001,0.023,22,15,7,7,38,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,대구,산격동,도시대기,0.003,0.5,0.002,0.028,36,23,23,15,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,보통,,,,,,
2021-11-13 08:00,대구,만촌동,도시대기,0.003,0.4,0.003,0.026,30,23,13,11,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,대구,호림동,도시대기,0.001,0.2,0.004,0.012,29,26,19,17,54,보통,좋음,좋음,좋음,좋음,좋음,보통,좋음,보통,,,,,,
2021-11-13 08:00,대구,유가읍,도시대기,0.001,0.6,0.001,0.016,25,20,13,8,33,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,대구,이곡동,도로변대기,0.002,0.3,0.002,0.025,29,28,21,19,59,보통,좋음,좋음,좋음,좋음,좋음,보통,좋음,보통,,,,,,
2021-11-13 08:00,대구,시지동,도시대기,0.001,0.4,0.001,0.029,26,18,15,9,48,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,대구,진천동,도시대기,0.002,0.7,0.001,0.022,30,24,21,16,51,보통,좋음,좋음,좋음,좋음,좋음,보통,좋음,보통,,,,,,
2021-11-13 08:00,대구,다사읍,도시대기,,0.3,0.002,0.011,28,20,15,13,43,좋음,,좋음,좋음,좋음,좋음,좋음,좋음,좋음,자료이상,,,,,
2021-11-13 08:00,대구,본동,도시대기,0.001,0.3,0.002,0.019,45,34,25,20,61,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-11-13 08:00,대구,내당동,도시대기,0.002,0.4,0.002,0.022,39,35,30,25,74,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-11-13 08:00,대구,침산동,도시대기,0.002,0.4,0.004,0.028,39,26,30,21,64,보통,좋음,좋음,좋음,좋음,좋음,보통,보통,보통,,,,,,
2021-11-13 08:00,대구,화원읍,도시대기,0.001,0.3,0.004,0.010,24,12,17,9,30,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,,,,,,
2021-11-13 08:00,인천,석모리,교외대기,0.002,0.4,0.025,0.007,19,17,12,10,42,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,덕적도,교외대기,0.002,0.3,0.026,0.012,15,15,10,8,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,백령도,국가배경농도,0.001,0.3,0.023,0.002,20,17,11,9,38,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,영흥,도시대기,0.003,0.2,0.009,0.021,26,21,19,13,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,,,,,,
2021-11-13 08:00,인천,연평도,국가배경농도,0.001,0.3,0.018,0.019,18,13,9,6,32,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,울도,국가배경농도,0.001,0.3,0.031,0.004,23,19,5,5,51,보통,좋음,좋음,보통,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,신흥,도시대기,0.004,0.5,0.008,0.038,14,21,8,9,63,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,서해,도로변대기,0.004,0.7,0.003,0.023,40,37,10,12,57,보통,좋음,좋음,좋음,좋음,보통,좋음,보통,좋음,,,,,,
2021-11-13 08:00,인천,영종,도시대기,0.003,0.4,0.004,0.035,16,16,6,7,58,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,송림,도시대기,0.003,0.9,0.003,0.036,24,25,9,11,59,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,구월동,도시대기,0.003,1.0,0.002,0.044,29,21,10,10,73,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,숭의,도시대기,0.003,0.5,0.004,0.037,16,20,8,10,61,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,석바위,도로변대기,0.005,0.7,0.003,0.061,18,19,10,9,101,나쁨,좋음,좋음,좋음,나쁨,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,부평역,도로변대기,0.005,0.6,0.003,0.052,23,22,12,12,86,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,남동,도로변대기,0.004,1.0,0.002,0.036,41,35,26,20,61,보통,좋음,좋음,좋음,보통,보통,보통,보통,보통,,,,,,
2021-11-13 08:00,인천,주안,도시대기,0.003,0.6,0.002,0.043,15,16,10,9,71,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,부평,도시대기,0.005,0.8,0.003,0.051,24,23,13,13,85,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,연희,도시대기,0.004,0.3,0.003,0.056,23,15,12,7,93,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,검단,도시대기,0.003,0.7,0.002,0.035,25,23,13,12,58,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,중봉,도로변대기,0.005,0.9,0.004,0.056,60,48,23,17,93,보통,좋음,좋음,좋음,보통,보통,보통,보통,보통,,,,,,
2021-11-13 08:00,인천,계산,도시대기,0.003,1.4,0.005,0.046,29,16,16,10,76,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,보통,,,,,,
2021-11-13 08:00,인천,고잔,도시대기,0.005,0.8,,0.047,36,32,27,24,,,좋음,좋음,,보통,보통,보통,보통,보통,,,장비점검,,,
2021-11-13 08:00,인천,서창,도시대기,0.003,0.7,0.002,0.037,16,19,7,9,61,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,석남,도시대기,0.004,0.8,0.002,0.047,22,19,10,9,78,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,송해,도시대기,0.003,0.5,0.002,0.026,33,20,16,10,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,보통,,,,,,
2021-11-13 08:00,인천,동춘,도시대기,0.004,0.8,0.002,0.041,34,29,18,15,68,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,보통,,,,,,
2021-11-13 08:00,인천,운서,도시대기,0.003,0.5,0.004,0.034,19,18,7,8,56,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,송현,도로변대기,0.004,0.6,0.002,0.045,18,22,9,11,75,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,논현,도시대기,0.003,0.7,0.002,0.036,18,16,8,10,59,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,청라,도시대기,0.005,0.7,0.003,0.048,23,21,7,7,80,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,송도,도시대기,0.004,0.5,0.002,0.038,26,22,13,11,63,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,인천,아암,도시대기,0.003,0.5,0.002,0.041,35,28,15,12,68,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,좋음,,,,,,
2021-11-13 08:00,인천,원당,도시대기,0.005,0.9,0.003,0.064,45,28,18,13,104,나쁨,좋음,좋음,좋음,나쁨,좋음,좋음,보통,보통,,,,,,
2021-11-13 08:00,인천,길상,도시대기,0.006,0.8,0.003,0.021,52,26,26,15,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,보통,,,,,,
2021-11-13 08:00,인천,삼산,도시대기,0.005,0.8,0.002,0.052,35,32,15,14,86,보통,좋음,좋음,좋음,보통,보통,좋음,보통,좋음,,,,,,
2021-11-13 08:00,인천,경인항,항만,0.005,0.7,0.002,0.034,47,35,13,12,56,보통,좋음,좋음,좋음,보통,보통,좋음,보통,좋음,,,,,,
2021-11-13 08:00,광주,서석동,도시대기,0.002,0.5,0.003,0.019,11,10,5,5,32,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,광주,농성동,도시대기,0.003,0.7,0.001,0.022,7,8,7,,,,좋음,좋음,좋음,좋음,좋음,,좋음,좋음,,,,,,
2021-11-13 08:00,광주,치평동,도로변대기,0.004,0.7,0.003,0.019,18,17,14,15,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,광주,노대동,도시대기,,0.4,0.007,0.009,18,11,17,10,33,좋음,,좋음,좋음,좋음,좋음,좋음,좋음,보통,자료이상,,,,,
2021-11-13 08:00,광주,유촌동,도시대기,0.003,0.5,0.006,0.019,17,15,11,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,광주,두암동,도시대기,0.003,0.7,0.002,0.030,9,12,9,,,,좋음,좋음,좋음,좋음,좋음,,좋음,좋음,,,,,,
2021-11-13 08:00,광주,운암동,도로변대기,0.004,0.6,0.004,0.026,13,16,13,10,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,광주,건국동,도시대기,0.003,0.4,0.003,0.013,8,7,5,,,,좋음,좋음,좋음,좋음,좋음,,좋음,좋음,,,,,,
2021-11-13 08:00,광주,일곡동,도시대기,0.003,0.4,0.005,0.011,8,8,,,,,좋음,좋음,좋음,좋음,좋음,,좋음,,,,,,,자료이상
2021-11-13 08:00,광주,오선동,도시대기,0.003,0.5,0.006,0.014,7,10,,,,,좋음,좋음,좋음,좋음,좋음,,좋음,,,,,,,자료이상
2021-11-13 08:00,광주,우산동(광주),도시대기,0.004,0.5,0.013,0.020,20,21,13,14,47,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-11-13 08:00,광주,평동,도시대기,0.003,0.6,0.004,0.019,19,21,15,18,56,보통,좋음,좋음,좋음,좋음,좋음,보통,좋음,좋음,,,,,,
2021-11-13 08:00,광주,주월동,도시대기,0.004,0.8,0.002,0.026,12,14,,11,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,,자료이상
2021-11-13 08:00,대전,읍내동,도시대기,0.004,0.9,0.003,0.033,57,43,20,16,63,보통,좋음,좋음,좋음,보통,보통,보통,보통,보통,,,,,,
