"구분(1)",구분(2),구분(3),구분(4),2020.09,2020.10,2020.11,2020.12,2021.01,2021.02
"도시대기",서울,중구,중구,0.4,0.5,0.5,0.6,0.6,0.6
"도시대기",서울,종로구,종로구,0.4,0.5,0.6,0.7,0.7,0.6
"도시대기",서울,중랑구,중랑구,0.4,0.5,0.5,0.6,0.6,0.6
"도시대기",서울,동대문구,동대문구,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",서울,은평구,은평구,0.3,0.5,0.6,0.6,0.6*,0.5
"도시대기",서울,마포구,마포구,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",서울,영등포구,영등포구,0.5,0.5,0.6,0.7,0.7,0.6
"도시대기",서울,동작구,동작구,0.3,0.4,0.5,0.5,0.5,0.5
"도시대기",서울,관악구,관악구,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",서울,강남구,강남구,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",서울,금천구,금천구,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",서울,강동구,강동구,0.4,0.5,0.5,0.6,0.5,0.6
"도시대기",서울,강북구,강북구,0.3,0.5,0.5,0.6,0.5,0.5
"도시대기",서울,성북구,성북구,0.3,0.5,0.7,0.7,0.7,0.6
"도시대기",서울,용산구,용산구,0.3,0.4,0.5,0.5,0.5,0.5
"도시대기",서울,광진구,광진구,0.4,0.7,0.6,0.6,0.6,0.6
"도시대기",서울,성동구,성동구,0.3,0.4,0.5,0.6,0.6,0.6
"도시대기",서울,도봉구,도봉구,0.2,0.4,0.4,0.5,0.5,0.4
"도시대기",서울,서대문구,서대문구,0.3,0.5,0.8,0.7,0.7,0.7
"도시대기",서울,구로구,구로구,0.3,0.4,0.4,0.5,0.5,0.4
"도시대기",서울,서초구,서초구,0.3,0.5,0.5,0.5,0.4,0.4
"도시대기",서울,강서구,강서구,0.3,0.5,0.6,0.4,0.5,0.6
"도시대기",서울,송파구,송파구,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",서울,양천구,양천구,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",서울,노원구,노원구,0.4,0.5,0.6,0.6,0.7,0.7
"도시대기",부산,중구,광복동,0.3,0.4,0.4,0.4,0.4,0.4
"도시대기",부산,남구,대연동,0.5,0.5,0.5,0.5,0.5,0.5
"도시대기",부산,사상구,학장동,0.3,0.3,0.3,0.4,0.4,0.4
"도시대기",부산,사상구,덕포동,0.4,0.4,0.5,0.6,0.5,0.5
"도시대기",부산,북구,덕천동,0.4,0.4,0.5,0.5,0.5,0.5
"도시대기",부산,사하구,장림동,0.4,0.5,0.5,0.5,0.5,0.5
"도시대기",부산,사하구,당리동,0.4,0.4,0.4,0.5,0.5,0.5
"도시대기",부산,부산진구,전포동,0.3,0.4,0.5,0.4,0.4,0.4
"도시대기",부산,부산진구,개금동,0.4,0.5,0.5,0.5,0.5,0.5
"도시대기",부산,연제구,연산동,0.3,0.4,0.4,0.4,0.4,0.3
"도시대기",부산,영도구,태종대,0.3,0.3,0.3,0.3,0.3,0.3
"도시대기",부산,영도구,청학동,0.3,0.3,0.3,0.4,0.3,0.3
"도시대기",부산,금정구,청룡동,0.4*,0.5,0.5,0.5,0.5,0.5
"도시대기",부산,금정구,부곡동,0.3,0.4,0.4,0.4,0.4,0.5
"도시대기",부산,금정구,회동동,-,0.4*,0.4,0.5,0.4,0.5
"도시대기",부산,해운대구,좌동,0.4,0.4,0.4,0.4,0.4,0.4
"도시대기",부산,해운대구,재송동,0.3,0.4,0.4,0.4,0.4,0.4
"도시대기",부산,강서구,대저동,0.4,0.4,0.4,0.4,0.4,0.4
"도시대기",부산,강서구,녹산동,0.3,0.3,0.3,0.3,0.3,0.4
