시도명,시군구,사업장 수(1종),사업장 수(2종),사업장 수(3종),배출구 수(1종),배출구 수(2종),배출구 수(3종),방지시설 수(1종),방지시설 수(2종),방지시설 수(3종),배출시설 수(1종),배출시설 수(2종),배출시설 수(3종)
서울특별시,강남구,3,1,3,21,5,5,37,9,7,43,11,13
서울특별시,강동구,,1,2,,1,14,,6,4,,7,8
서울특별시,강서구,1,2,,5,2,,11,3,,6,2,
서울특별시,관악구,,1,,,33,,,51,,,51,
서울특별시,광진구,,,1,,,1,,,1,,,3
서울특별시,구로구,,1,1,,2,43,,2,43,,5,46
서울특별시,노원구,2,,,9,,,34,,,9,,
서울특별시,도봉구,,,1,,,4,,,9,,,7
서울특별시,동대문구,,,1,,,1,,,1,,,5
서울특별시,마포구,4,,,14,,,27,,,15,,
서울특별시,서대문구,,2,,,21,,,54,,,62,
서울특별시,서초구,,1,1,,3,1,,3,2,,3,2
서울특별시,성동구,,1,,,2,,,17,,,9,
서울특별시,송파구,2,2,,5,10,,6,12,,5,28,
서울특별시,양천구,2,1,1,6,3,2,12,4,3,11,4,3
서울특별시,영등포구,,,,,,,,,,,,
서울특별시,용산구,,,1,,,4,,,8,,,8
서울특별시,은평구,1,,,1,,,3,,,1,,
서울특별시,종로구,,1,1,,5,1,,10,3,,13,3
서울특별시,중구,,,2,,,6,,,6,,,32
부산광역시,강서구,14,20,56,5,2,,11,3,,6,2,
부산광역시,금정구,1,2,2,39,40,11,49,54,26,352,105,26
부산광역시,기장군,1,3,6,2,36,43,2,45,75,2,50,109
부산광역시,남구,2,1,3,61,19,30,65,19,30,113,248,97
부산광역시,동구,,,2,,,44,,,58,,,315
부산광역시,동래구,,,1,,,4,,,4,,,7
부산광역시,부산진구,,,1,,,1,,,2,,,13
부산광역시,사상구,1,9,9,29,127,65,32,129,72,33,567,217
부산광역시,사하구,10,20,26,178,157,176,230,198,217,601,240,436
부산광역시,서구,,1,1,,6,4,,9,5,,9,4
부산광역시,연제구,,,1,,,11,,,11,,,11
부산광역시,영도구,,2,,,12,,,14,,,14,
부산광역시,해운대구,2,3,2,5,31,3,8,31,3,5,40,15
대구광역시,남구,,1,2,61,19,30,65,19,30,113,248,97
대구광역시,달서구,5,6,22,67,44,160,120,52,219,81,110,876
대구광역시,달성군,13,20,19,256,287,316,289,303,357,1229,1210,946
대구광역시,동구,1,,,,,44,,,58,,,315
대구광역시,북구,1,3,4,14,24,27,14,27,39,12,33,218
대구광역시,서구,3,3,13,,6,4,,9,5,,9,4
대구광역시,수성구,,,1,,,3,,,3,,,3
대구광역시,중구,,1,1,,,6,,,6,,,32
