"구분(1)",구분(2),구분(3),구분(4),2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12
"도시대기",서울,중구,서소문동,47,85,72,46,45,34,30,34,26,43,31,45
"도시대기",서울,종로구,효제동,54,98,79,49,52,42,35,36,28,44,33,49
"도시대기",서울,중랑구,면목동,49,88,73,47,46,33,29,32,26,43,32,47
"도시대기",서울,동대문구,용두동,48,82,70,44,44,32,27,31,27,46,34,49
"도시대기",서울,은평구,불광동,51,88,70,43,43,32,29,33,28,45,33,46
"도시대기",서울,마포구,대흥동,52,88,75,48,45,34,31,35,26,42,33,46
"도시대기",서울,영등포구,당산동,49,85,79,51,50,38,31,35,30,35**,38,55
"도시대기",서울,동작구,사당동,48,80,67,37,41,33,26,37,28,46,36,43
"도시대기",서울,관악구,신림동,53,86,78,49,50,41,38,41,34,50,40,52
"도시대기",서울,강남구,대치동,49,85,77,47,46,35,30,32,28,44,33,46
"도시대기",서울,금천구,시흥동,47,78,64,41,45,39,33,39*,35**,43,32,53
"도시대기",서울,강동구,천호동,47,81,68,42,42,32,26,31,29,47,35,50
"도시대기",서울,강북구,번동,48,82,67,45,40,29,27,34,37**,43,31,48*
"도시대기",서울,성북구,길음동,41,71,64,47,45,38,33,31,25,41,30,45
"도시대기",서울,용산구,한남동,45,79,63,40,42,34,32,36,25,41,30,42
"도시대기",서울,광진구,구의동,50,88,72,45,46,34,29,32,25,43,29,50
"도시대기",서울,성동구,성수동,48,81,72,45,50,36,27,30,30,47,33,51
"도시대기",서울,도봉구,쌍문동,48,85,70,42,41,30,26,32,25,40,30,45
"도시대기",서울,서대문구,남가좌동,47,86,69,42,42,30,26,30,25,40,29,44
"도시대기",서울,구로구,구로동,50,81,72,48,47,36,30,35,29,48,35,46
"도시대기",서울,서초구,반포동,55,92,77,48,46,35,28,33,29,41,36,50
"도시대기",서울,강서구,화곡동,50,81,66,45,46,40,32,37,32,52,41,52
"도시대기",서울,송파구,방이동,47,81,71,44,45,34,28,30,27,44,32,45
"도시대기",서울,양천구,신정동,50,80,66,43,40,33,29,37*,41**,48,35,56
"도시대기",서울,노원구,상계동,52,87,70,43,48,36,33,37,27,41,31,46
"도시대기",부산,중구,광복동,52,74,63,50,55,47,39,43*,26**,46,34,42
"도시대기",부산,남구,대연동,40,58,48,40,50,46,33,38,24,42,35,36
"도시대기",부산,사상구,학장동,55,67,60,59,65,54,40**,61**,32,51,42,55
"도시대기",부산,북구,덕천동,51,69,59,53,59,46,42,38,25,30**,21**,36
"도시대기",부산,사하구,장림동,63,73,62,47,63,63,39*,43**,30,53,40,60
